time,left_1,left_2,left_3,right_1,right_2,right_3,head_1
0.000000000000000000e+00,1.669382496257547421e+00,-1.251009621261986560e+00,-5.047192997467258024e-01,-1.270993641197321500e+00,-9.468685458094543428e-01,-9.558395381647054601e-01,0.000000000000000000e+00
7.164646565656565258e+01,1.689934961921169210e+00,-1.265539894079105832e+00,-4.117280104846471889e-01,-1.439751086978273920e+00,-1.004493762251172262e+00,-6.111964025718930049e-01,1.965380250121080610e-03
1.432929313131313052e+02,1.697128232671688997e+00,-1.271802731937558439e+00,-3.348006466088624955e-01,-1.563889427735825954e+00,-1.049761251382319793e+00,-3.216756362622415488e-01,2.894891336992067195e-03
2.149393969696969577e+02,1.690962308509106560e+00,-1.269798134837344605e+00,-2.739372081193721109e-01,-1.643408663469977160e+00,-1.082671013202896049e+00,-8.727723923575070319e-02,2.788533260612959756e-03
2.865858626262626103e+02,1.671437189433421677e+00,-1.259526102778464329e+00,-2.291376950161757298e-01,-1.678308794180728203e+00,-1.103223047712901472e+00,9.199878850757903237e-02,1.646306020983757425e-03
3.582323282828282345e+02,1.638552875444635237e+00,-1.240986635760917167e+00,-2.004021072992735186e-01,-1.668589819868078639e+00,-1.111417354912336064e+00,2.161524469677478799e-01,-5.317903818955384970e-04
4.298787939393939155e+02,1.592309366542745908e+00,-1.214179733784703785e+00,-1.877304449686653665e-01,-1.614251740532028689e+00,-1.107253934801199602e+00,2.851837361447560060e-01,-3.745755948024929310e-03
5.015252595959595965e+02,1.532706662727754798e+00,-1.179105396849823739e+00,-1.911227080243513288e-01,-1.515294556172577911e+00,-1.090732787379492086e+00,2.990926560386031330e-01,-7.995590677404419352e-03
5.731717252525252206e+02,1.459744763999661465e+00,-1.135763624956277251e+00,-2.105788964663314056e-01,-1.371718266789726970e+00,-1.061853912647213960e+00,2.578792066492895385e-01,-1.328129457003399301e-02
6.448181909090908448e+02,1.373423670358466353e+00,-1.084154418104064099e+00,-2.460990102946055136e-01,-1.183522872383475422e+00,-1.020617310604365224e+00,1.615433879768149450e-01,-1.960286762591366763e-02
7.164646565656564690e+02,1.273743381804168795e+00,-1.024277776293184283e+00,-2.976830495091737916e-01,-9.507083729538237105e-01,-9.670229812509455458e-01,1.388378197395555812e-02,-2.696030984504343628e-02
7.881111222222222068e+02,1.160703898336769013e+00,-9.575079350378787879e-01,-3.591116486425676158e-01,-6.732747685007705041e-01,-9.010709245869544803e-01,-1.356450359498959923e-01,-3.459153197346112596e-02
8.597575878787878310e+02,1.034305219956267452e+00,-8.879174911510796520e-01,-4.066816194479337954e-01,-3.605317042827877461e-01,-8.236815995498916188e-01,-2.718122220154600699e-01,-3.811354889318133848e-02
9.314040535353534551e+02,8.960225042349757585e-01,-8.157749636350117850e-01,-4.380800575222286164e-01,-7.039060387716573886e-02,-7.478977171009001390e-01,-3.946177762227366936e-01,-3.682656947065135467e-02
1.003050519191919193e+03,7.637320078454447048e-01,-7.410803524896750760e-01,-4.533069628654517458e-01,1.871460828610661542e-01,-6.779489816565029692e-01,-5.040616985717262244e-01,-3.073059370587111552e-02
1.074696984848484817e+03,6.426931821993021599e-01,-6.638336577150695250e-01,-4.523623354776032945e-01,4.120783559319068368e-01,-6.138353932167005533e-01,-6.001439890624282736e-01,-1.982562159884066616e-02
1.146343450505050441e+03,5.329060272965482348e-01,-5.840348793111953540e-01,-4.352461753586834292e-01,6.044062153353567668e-01,-5.555569517814923364e-01,-6.828646476948428967e-01,-4.111653149560003107e-03
1.217989916161616065e+03,4.343705431371827075e-01,-5.016840172780523410e-01,-4.019584825086920388e-01,7.641296610714159998e-01,-5.031136573508788734e-01,-7.522236744689700938e-01,1.641131164197087711e-02
1.289636381818181690e+03,3.470867297212055225e-01,-4.167810716156405970e-01,-3.524992569276289567e-01,8.912486931400841472e-01,-4.565055099248598314e-01,-8.082210693848101979e-01,4.174327277575198142e-02
1.361282847474747314e+03,2.710545870486170683e-01,-3.293260423239599555e-01,-2.868684986154945715e-01,9.857633115413617642e-01,-4.157325095034352103e-01,-8.508568324423625429e-01,7.188423025178332371e-02
1.432929313131312938e+03,2.062741151194168454e-01,-2.417345971622306688e-01,-2.091530114153673792e-01,1.047673516275248407e+00,-3.807946560866052321e-01,-8.801309636416277948e-01,1.044777725750310193e-01
1.504575778787878789e+03,1.512083557270654521e-01,-1.642313805092870393e-01,-1.389433499374124470e-01,1.076979307341744407e+00,-3.516919496743696749e-01,-8.960434629826057318e-01,1.268723180160966912e-01
1.576222244444444414e+03,1.037026405957467423e-01,-9.796434665122437380e-02,-7.880110496629466610e-02,1.073680684740849323e+00,-3.284243902667286497e-01,-8.985943304652963537e-01,1.371890725664725585e-01
1.647868710101010038e+03,6.374218721387846232e-02,-4.293349558804254729e-02,-2.872627650201386301e-02,1.037777648472563818e+00,-3.109919778636821563e-01,-8.877835660896995496e-01,1.354280362261587045e-01
