time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.462809228286899632e+00,-1.148197889910990144e+00,-5.307591462616446654e-01,-1.335842554243711788e+00,-1.245722447535163813e+00,-1.397965482388918990e-01,2.471836195080377024e-03,5.788171649921950617e-04
1.010101111111111116e+01,1.437496471333026493e+00,-1.142531605466883482e+00,-5.534945104902605495e-01,-1.317007464788643167e+00,-1.213283172659602283e+00,-2.426976064166409125e-02,5.637854914333081773e-03,-4.248557227953313371e-03
2.020202222222222233e+01,1.410690379557156815e+00,-1.136957434579747739e+00,-5.750897996408470547e-01,-1.296035506958983952e+00,-1.183281868834915818e+00,4.853871200260113927e-02,8.270924218404309206e-03,-8.569856669836237520e-03
3.030303333333333171e+01,1.382390952959289931e+00,-1.131475377249582248e+00,-5.955450137134041810e-01,-1.272926680754733919e+00,-1.155718536061104196e+00,7.862886969390381342e-02,1.037104410729405325e-02,-1.238508116065657402e-02
4.040404444444444465e+01,1.352598191539426065e+00,-1.126085433476387676e+00,-6.148601527079320395e-01,-1.247680986175892626e+00,-1.130593174338167639e+00,6.600071243224403528e-02,1.193821458100232172e-02,-1.569423070041433069e-02
5.050505555555555759e+01,1.321312095297565214e+00,-1.120787603260163801e+00,-6.330352166244304080e-01,-1.220298423222460960e+00,-1.107905783666105703e+00,1.065424021762173545e-02,1.297243563952910940e-02,-1.849730528910950578e-02
6.060606666666666342e+01,1.288532664233707381e+00,-1.115581886600911066e+00,-6.500702054628998416e-01,-1.190778991894438477e+00,-1.087656364044919055e+00,-8.741054694996330809e-02,1.347370728287441283e-02,-2.079430492674208542e-02
7.070707777777778347e+01,1.254259898347852564e+00,-1.110468283498628805e+00,-6.659651192233396744e-01,-1.159122692191824955e+00,-1.069844915474607250e+00,-2.281936490705107623e-01,1.344202951103824935e-02,-2.258522961331209042e-02
8.080808888888888930e+01,1.218493797640000986e+00,-1.105446793953317242e+00,-6.807199579057502392e-01,-1.125329524114620838e+00,-1.054471437955170510e+00,-4.116950661440207382e-01,1.287740232402059641e-02,-2.387007934881950691e-02
9.090909999999999513e+01,1.181234362110152425e+00,-1.100517417964976152e+00,-6.943347215101314251e-01,-1.089399487662825905e+00,-1.041535931486608835e+00,-6.379147981704931247e-01,1.177982572182146442e-02,-2.464885413326434183e-02
1.010101111111111152e+02,1.142481591758307324e+00,-1.095680155533606204e+00,-7.068094100364833432e-01,-1.051332582836440155e+00,-1.031038396068921781e+00,-9.068528451499283660e-01,1.014929970444085686e-02,-2.492155396664659170e-02
1.111111222222222210e+02,1.102235486584464796e+00,-1.090935006659206730e+00,-7.181440234848059934e-01,-1.011128809635463588e+00,-1.022978831702110014e+00,-1.218509207082325796e+00,7.985824271878775443e-03,-2.468817884896624612e-02
1.212121333333333268e+02,1.060496046588625507e+00,-1.086281971341777730e+00,-7.283385618550992646e-01,-9.687881680598962042e-01,-1.017357238386173091e+00,-1.572883883967686192e+00,5.289399424135202837e-03,-2.394872878022333978e-02
1.313131444444444469e+02,1.017263271770789013e+00,-1.081721049581319871e+00,-7.373930251473631570e-01,-9.243106581097380037e-01,-1.014173616121111232e+00,-1.969976875806009220e+00,2.060025161210159855e-03,-2.270320376041782412e-02
1.414141555555555669e+02,9.725371621309557568e-01,-1.077252241377832487e+00,-7.453074133615977814e-01,-8.776962797849890974e-01,-1.012618448297495366e+00,-2.409788182597295325e+00,-1.702298516896370850e-03,-2.095160378954974423e-02
1.515151666666666586e+02,9.263177176691258508e-01,-1.072875546731316021e+00,-7.520817264978030270e-01,-8.289450330856493743e-01,-1.010803244705548609e+00,-2.892317804341541621e+00,-5.997571610184361524e-03,-1.869392886761907235e-02
1.616161777777777786e+02,8.786049383852985173e-01,-1.068590965641770252e+00,-7.577159645559790047e-01,-7.780569180117187233e-01,-1.008650562263234463e+00,-3.417565741038752769e+00,-1.082579411865385727e-02,-1.593017899462581544e-02
1.717171888888888986e+02,8.302051391409263070e-01,-1.064398498109195179e+00,-7.622101275361257144e-01,-7.263030804296798371e-01,-1.006160400970552704e+00,-3.985531992688925662e+00,-1.618696604230481645e-02,-1.266035417056996654e-02
1.818181999999999903e+02,7.828375493148468367e-01,-1.060298144133590803e+00,-7.655884354831399286e-01,-6.764237507963400953e-01,-1.003332760827503778e+00,-4.596216559292059856e+00,-2.208108738113724948e-02,-8.884454395451549941e-03
1.919192111111111103e+02,7.365589793852714839e-01,-1.056145497779959586e+00,-7.691558851974960032e-01,-6.285120219532889241e-01,-1.000167641834087240e+00,-5.249619440848159790e+00,-2.850815813515117716e-02,-4.602479669270537893e-03
2.020202222222222304e+02,6.913694293522000267e-01,-1.051773332470374189e+00,-7.736563492983314916e-01,-5.825678939005267676e-01,-9.966650439903030900e-01,-5.945740637357220137e+00,-3.546817830434657870e-02,1.855700079730626673e-04
