time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.446500672267019283e+00,-1.094741263722419866e+00,-6.384936891462339448e-01,-1.417535326667264117e+00,-1.144992472139160888e+00,-3.529930056599129284e-01,1.728730772290276154e-03,-4.817129476196552965e-04
1.010101111111111116e+01,1.414831712405489883e+00,-1.085066034415946845e+00,-6.318557082814518777e-01,-1.384548839282838006e+00,-1.125928450884462251e+00,-3.492967037023687049e-01,9.663906038581877595e-04,-2.854209920094094577e-03
2.020202222222222233e+01,1.381574484026558469e+00,-1.075547529491369669e+00,-6.275524086373966970e-01,-1.350204813704524165e+00,-1.107195362145221074e+00,-3.493212768374751032e-01,3.101730000364850970e-04,-4.999832259685672332e-03
3.030303333333333171e+01,1.346728987130225264e+00,-1.066185748948688117e+00,-6.255837902140675144e-01,-1.314503249932322149e+00,-1.088793205921436247e+00,-3.530667250652318456e-01,-2.399220391748321584e-04,-6.918579966394388346e-03
4.040404444444444465e+01,1.310295221716490266e+00,-1.056980692787901965e+00,-6.259498530114649961e-01,-1.277444147966231736e+00,-1.070721982213108658e+00,-3.605330483856388768e-01,-6.838945137757642236e-04,-8.610453040220242618e-03
5.050505555555555759e+01,1.272273187785353254e+00,-1.047932361009011881e+00,-6.286505970295890311e-01,-1.239027507806253592e+00,-1.052981691020238308e+00,-3.717202467986965853e-01,-1.021744423766310665e-03,-1.007545148116323515e-02
6.060606666666666342e+01,1.232662885336814895e+00,-1.039040753612017198e+00,-6.336860222684395083e-01,-1.199253329452387273e+00,-1.035572332342824975e+00,-3.866283203044046379e-01,-1.253471769146470398e-03,-1.131357528922336507e-02
7.070707777777778347e+01,1.191464314370874522e+00,-1.030305870596918361e+00,-6.410561287280166498e-01,-1.158121612904632780e+00,-1.018493906180868214e+00,-4.052572689027631458e-01,-1.379076549916246350e-03,-1.232482446440063238e-02
8.080808888888888930e+01,1.148677474887531913e+00,-1.021727711963714702e+00,-6.507609164083201225e-01,-1.115632358162990556e+00,-1.001746412534368913e+00,-4.276070925937721090e-01,-1.398558766075635919e-03,-1.310919900669503882e-02
9.090909999999999513e+01,1.104302366886787956e+00,-1.013306277712407333e+00,-6.628003853093501485e-01,-1.071785565227459713e+00,-9.853298514033266287e-01,-4.536777913774314719e-01,-1.311918417624639756e-03,-1.366669891610658959e-02
1.010101111111111152e+02,1.058338990368641985e+00,-1.005041567842995365e+00,-6.771745354311067278e-01,-1.026581234098040918e+00,-9.692442227877412497e-01,-4.834693652537412900e-01,-1.119155504563259379e-03,-1.399732419263526907e-02
1.111111222222222210e+02,1.010787345333094001e+00,-9.969335823554792420e-01,-6.938833667735896382e-01,-9.800193647747343917e-01,-9.534895266876128872e-01,-5.169818142227015079e-01,-8.202700268914921850e-04,-1.410107483628108942e-02
1.212121333333333268e+02,9.616474317801444460e-01,-9.889823212498586313e-01,-7.129268793367993240e-01,-9.320999572575396908e-01,-9.380657631029417631e-01,-5.542151382843121254e-01,-4.152619846093403427e-04,-1.397795084704405236e-02
1.313131444444444469e+02,9.109192497097929886e-01,-9.811877845261338660e-01,-7.343050731207352300e-01,-8.828230115464568151e-01,-9.229729320337274334e-01,-5.951693374385733648e-01,9.586862228319961710e-05,-1.362795222492415095e-02
1.414141555555555669e+02,8.586027991220397393e-01,-9.735499721843046128e-01,-7.580179481253979112e-01,-8.321885276414857646e-01,-9.082110334799700091e-01,-6.398444116854848929e-01,7.131217937861242251e-04,-1.305107896992138521e-02
1.515151666666666586e+02,8.046980800168844761e-01,-9.660688842243712049e-01,-7.840655043507870348e-01,-7.801965055426268725e-01,-8.937800674416698232e-01,-6.882403610250468207e-01,1.436497529899430879e-03,-1.224733108203576552e-02
1.616161777777777786e+02,7.492050923943274210e-01,-9.587445206463334202e-01,-8.124477417969024895e-01,-7.268469452498798056e-01,-8.796800339188266538e-01,-7.403571854572593702e-01,2.265995830623124783e-03,-1.121670856126727456e-02
1.717171888888888986e+02,6.921238362543685740e-01,-9.515768814501912587e-01,-8.431646604637446085e-01,-6.721398467632446749e-01,-8.659109329114405007e-01,-7.961948849821223195e-01,3.201616695957206805e-03,-9.959211407615926187e-03
1.818181999999999903e+02,6.334543115970081573e-01,-9.445659666359449425e-01,-8.758583203667428263e-01,-6.160752100827214806e-01,-8.524727644195113641e-01,-8.545266276836809283e-01,4.243360125901670006e-03,-8.474839621081715207e-03
1.919192111111111103e+02,5.731965184222456156e-01,-9.377117762035942494e-01,-9.076577307153771423e-01,-5.586530352083101114e-01,-8.393655284430392438e-01,-9.091139361287315923e-01,5.391226120456520457e-03,-6.763593201664645088e-03
2.020202222222222304e+02,5.113504567300811710e-01,-9.310143101531390686e-01,-9.379394343278597557e-01,-4.998742491279276057e-01,-8.265892249820243620e-01,-9.590840970380469788e-01,6.645214679621758158e-03,-4.828486941939384887e-03
