time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.142843835682126219e+00,-1.125658739572060529e+00,-4.723647818773978324e-01,-1.321763870700560561e+00,-1.044356814759552998e+00,-4.312057691971979967e-01,-3.082001993718403148e-03,-4.420571573112090646e-03
1.010101111111111116e+01,1.153620274616941721e+00,-1.073968062680949798e+00,-5.308191224165595967e-01,-1.278841948095425618e+00,-1.007650092529877250e+00,-4.521990128080344840e-01,8.505617341918039059e-03,-3.531307746952674215e-03
2.020202222222222233e+01,1.139622708230847659e+00,-1.025329221575097760e+00,-5.882268873041754942e-01,-1.216535734458249252e+00,-9.728329096785717223e-01,-4.763139233064371814e-01,1.771294357770850786e-02,-2.830795153173308338e-03
3.030303333333333171e+01,1.100851136523844920e+00,-9.797422162545055269e-01,-6.445880765402457468e-01,-1.134845229789031906e+00,-9.399052662056361918e-01,-5.035505006924062554e-01,2.453997671365298894e-02,-2.319033791773994751e-03
4.040404444444444465e+01,1.037305559495933283e+00,-9.372070467191719878e-01,-6.999026901247702437e-01,-1.033770434087773138e+00,-9.088671621110707699e-01,-5.339087449659413176e-01,2.898671674975149617e-02,-1.996023662754732586e-03
5.050505555555555759e+01,9.489859771471126360e-01,-8.977237129690980311e-01,-7.541707280577490957e-01,-9.133113473544733907e-01,-8.797185973948750126e-01,-5.673886561270427009e-01,3.105316368600402610e-02,-1.861764766115522060e-03
6.060606666666666342e+01,8.358923894773832020e-01,-8.612922150042831015e-01,-8.073921903391821919e-01,-7.734679695891327755e-01,-8.524595720570494750e-01,-6.039902341757100723e-01,3.073931752241057525e-02,-1.916257101856362523e-03
7.070707777777778347e+01,6.980247964867446475e-01,-8.279125528247270882e-01,-8.595670769690696433e-01,-6.142403007917505153e-01,-8.270900860975940461e-01,-6.437134791119437649e-01,2.804517825897113667e-02,-2.159500669977255059e-03
8.080808888888888930e+01,5.353831981751973057e-01,-7.975847264304303241e-01,-9.106953879474110058e-01,-4.356283409623278313e-01,-8.036101395165085037e-01,-6.865583909357435566e-01,2.297074589568573813e-02,-2.591495470478199017e-03
9.090909999999999513e+01,3.479675945427412320e-01,-7.703087358213929203e-01,-9.607771232742069456e-01,-2.376320901008636133e-01,-7.820197323137931811e-01,-7.325249696471096694e-01,1.551602043255434493e-02,-3.212241503359194832e-03
1.010101111111111152e+02,1.358331763036904616e-01,-7.460845809976146548e-01,-1.009812282949457130e+00,-2.314641084289175213e-02,-7.623188644894476340e-01,-7.816132152460418814e-01,5.681001869576977892e-03,-4.021738768620243369e-03
1.111111222222222210e+02,-7.218470446010590014e-02,-7.253661953049183042e-01,-1.057800866973161558e+00,1.633416358379758959e-01,-7.445075360434723066e-01,-8.338231277325403035e-01,-6.534309793246359521e-03,-5.019987266261341161e-03
1.212121333333333268e+02,-2.519249246252864283e-01,-7.089053828419524805e-01,-1.104742875345320341e+00,3.067074949669820194e-01,-7.284009766554856435e-01,-8.891547071066048247e-01,-2.112991455591567425e-02,-6.179023638761206756e-03
1.313131444444444469e+02,-4.033874841918508314e-01,-6.967134501997078733e-01,-1.149078503899442438e+00,4.069511665441272186e-01,-7.135343181772039189e-01,-9.476079533682357781e-01,-3.745581789976387688e-02,-7.063920314394603675e-03
1.414141555555555669e+02,-5.265723831597994842e-01,-6.887903973781839273e-01,-1.185576479492424395e+00,4.640726505694109383e-01,-6.998851068915862284e-01,-1.009182866517432497e+00,-5.166281973492609786e-02,-7.525800918228565256e-03
1.515151666666666586e+02,-6.214796215291318315e-01,-6.851362243773811977e-01,-1.213813935777062536e+00,4.780719470428332896e-01,-6.874533427986323497e-01,-1.068856933380389451e+00,-6.311777413539901294e-02,-7.564665450263094969e-03
1.616161777777777786e+02,-6.881091992998484841e-01,-6.857509311972991295e-01,-1.233790872753356638e+00,4.489490559643942169e-01,-6.762390258983425051e-01,-1.120068803091458065e+00,-7.182068110118278170e-02,-7.180513910498194548e-03
1.717171888888888986e+02,-7.264611164719488867e-01,-6.906345178379381666e-01,-1.245507290421306923e+00,3.767039773340938313e-01,-6.662421561907166945e-01,-1.162790085340667190e+00,-7.777154063227727232e-02,-6.373346298933855320e-03
1.818181999999999903e+02,-7.365353730454331505e-01,-6.997869842992980871e-01,-1.248963188780912947e+00,2.613367111519322439e-01,-6.574627336757550289e-01,-1.197020780128016826e+00,-8.097035272868256806e-02,-5.143162615570091162e-03
1.919192111111111103e+02,-7.183319690203016084e-01,-7.132083305813788909e-01,-1.244158567832175377e+00,1.028472574179091215e-01,-6.499007583534570642e-01,-1.222760887453507417e+00,-8.141711739039861340e-02,-3.489962860406887329e-03
2.020202222222222304e+02,-6.718509043965540384e-01,-7.308985566841805781e-01,-1.231093427575093546e+00,-9.876438386797525837e-02,-6.435562302238231336e-01,-1.240010407317138075e+00,-7.911183461742540834e-02,-1.413747033444247292e-03
2.121212333333333220e+02,-5.970921791741905515e-01,-7.528576626077034817e-01,-1.209767768009668121e+00,-3.398948522279672257e-01,-6.384291492868534590e-01,-1.248769339718909910e+00,-7.405450440976302229e-02,1.085484865317818542e-03
2.222222444444444420e+02,-4.940557933532109813e-01,-7.790856483519469355e-01,-1.180181589135898435e+00,-5.568617601922203342e-01,-6.345195155425474853e-01,-1.249037684658822256e+00,-6.624512676741138584e-02,4.007732835879318847e-03
2.323232555555555621e+02,-3.627417469336150502e-01,-8.095825139169117168e-01,-1.142334890953784932e+00,-7.262937030740844735e-01,-6.318273289909056567e-01,-1.240815442136875113e+00,-5.592095618703083609e-02,7.352996878240255357e-03
2.424242666666666537e+02,-2.098741410089857984e-01,-8.406460566173568072e-01,-1.096227673463327390e+00,-8.481906808735594216e-01,-6.303525896319277511e-01,-1.224102612153068925e+00,-4.568295137251589949e-02,1.112127699240062113e-02
2.525252777777777737e+02,-7.903538084404695963e-02,-8.627824746262101607e-01,-1.044776717840852243e+00,-9.225526935906456227e-01,-6.298162072090758290e-01,-1.198899194707402804e+00,-3.624668107776925219e-02,1.531257317836042658e-02
2.626262888888888938e+02,2.194304203166001777e-02,-8.755149146108410774e-01,-1.000147507822018556e+00,-9.493797412253431878e-01,-6.294967475412927005e-01,-1.165205189799877417e+00,-2.761214530279093582e-02,1.992688543611966998e-02
2.727273000000000138e+02,9.306112761813489787e-02,-8.788433765712500012e-01,-9.636802320539685773e-01,-9.286718237776520057e-01,-6.293573845636655228e-01,-1.123945101227593169e+00,-1.977934404758093997e-02,2.496421376567833916e-02
2.828283111111111339e+02,1.343188759153777778e-01,-8.727678605074365992e-01,-9.353748905367027522e-01,-8.604289412475714105e-01,-6.293981182761945181e-01,-1.084504423504164095e+00,-1.274827731213928200e-02,2.994778216460076276e-02
2.929293222222221971e+02,1.457162869233888935e-01,-8.572883664194010933e-01,-9.152314832702203029e-01,-7.446510936351030674e-01,-6.296189486788792422e-01,-1.049329109381834213e+00,-6.518945096465978382e-03,3.355118419225839449e-02
3.030303333333333171e+02,1.272533606421680785e-01,-8.324048943071431506e-01,-9.032500102545217846e-01,-5.813382809402453111e-01,-6.300198757717201392e-01,-1.018419158860603080e+00,-1.091347400560957340e-03,3.569637655406253385e-02
3.131313444444444372e+02,7.893009707171533273e-02,-7.981174441706631040e-01,-8.994304714896065311e-01,-3.704905031629982526e-01,-6.306008995547172091e-01,-9.917745719404708060e-01,3.534515775575730601e-03,3.638335925001314614e-02
3.232323555555555572e+02,7.464962120306006810e-04,-7.544260160099607315e-01,-9.037728669754754307e-01,-1.121077603033628911e-01,-6.313620200278702299e-01,-9.693953486214378357e-01,7.358644431944089126e-03,3.561213228011021747e-02
3.333333666666666772e+02,-1.072974419368861176e-01,-7.013306098250361442e-01,-9.162771967121277061e-01,1.551363913301548325e-01,-6.323032371911792016e-01,-9.512814889035036137e-01,1.038103856854412886e-02,3.338269564435375480e-02
3.434343777777777973e+02,-2.452017173750347112e-01,-6.431496049652654090e-01,-9.369434606995639125e-01,3.925455221008016804e-01,-6.334245510446442351e-01,-9.374329927866685841e-01,1.260169818537584113e-02,2.969504934274377200e-02
3.535353888888889173e+02,-4.129663301024153466e-01,-5.911464409621626226e-01,-9.657716589377836058e-01,6.001196311631193936e-01,-6.347259615882653305e-01,-9.278498602709323029e-01,1.402062328243922594e-02,2.454919337528026907e-02
3.636363999999999805e+02,-6.049344073516744746e-01,-5.459064885942903622e-01,-1.002761791426787008e+00,7.778587185171073060e-01,-6.362074688220423768e-01,-9.202611597106860053e-01,1.463781385973427981e-02,1.794512774196326335e-02
3.737374111111111006e+02,-7.821632929121022926e-01,-5.074297478616484058e-01,-1.045591514028255009e+00,9.257627841627661391e-01,-6.378690727459754850e-01,-9.119757420680753013e-01,1.445326991726101316e-02,9.882852442792702807e-03
3.838384222222222206e+02,-9.372508779135804158e-01,-4.757162187642366424e-01,-1.085056408182295096e+00,1.043831828100096226e+00,-6.397079422699820661e-01,-9.029888567417690970e-01,1.346699145501942599e-02,3.623674777685909065e-04
3.939394333333333407e+02,-1.070197162356108844e+00,-4.507659013020552941e-01,-1.120208720220924992e+00,1.132065850329097012e+00,-6.416095441622758910e-01,-8.933005037317680586e-01,1.167897847300950788e-02,-1.061632715310902725e-02
4.040404444444444607e+02,-1.181002146239687356e+00,-4.325787954751044162e-01,-1.151048450144144697e+00,1.190464850849768608e+00,-6.435141786539666509e-01,-8.829106830380716309e-01,9.145830275228614831e-03,-2.305323144984017941e-02
4.141414555555555808e+02,-1.269665829564316617e+00,-4.211549012833838979e-01,-1.177575597951953768e+00,1.219028829662110791e+00,-6.454218457450547897e-01,-8.718193946606802580e-01,6.727396075165560478e-03,-3.644568817571964409e-02
4.242424666666666440e+02,-1.336188212329995961e+00,-4.164942187268937945e-01,-1.199790163644353091e+00,1.217757786766123562e+00,-6.473325454355400854e-01,-8.600266385995937179e-01,4.714092454415533436e-03,-4.835228144708858533e-02
4.343434777777777640e+02,-1.380569294536725611e+00,-4.185967478056339397e-01,-1.217692147221342225e+00,1.186651722161807365e+00,-6.492462777254226491e-01,-8.475324148548118997e-01,3.105919412978500743e-03,-5.844886307463831310e-02
4.444444888888888840e+02,-1.402809076184505788e+00,-4.274624885196045554e-01,-1.231281548682921390e+00,1.125710635849161534e+00,-6.511630426147021478e-01,-8.343367234263350252e-01,1.902876950854485820e-03,-6.673543305836873718e-02
4.545455000000000041e+02,-1.402907557273336492e+00,-4.430914408688055306e-01,-1.240558368029090364e+00,1.034934527828186734e+00,-6.530828401033788033e-01,-8.204395643141630945e-01,1.104965068043480426e-03,-7.321199139827988533e-02
