time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.268671989681908308e+00,-1.086374406621104294e+00,-5.631488635759517303e-01,-1.214203725107959597e+00,-1.055129534314837247e+00,-4.277455150226955327e-01,-9.549806372102263158e-03,8.420473827787832571e-03
1.010101111111111116e+01,1.284276665599372258e+00,-1.073790659258823110e+00,-5.816855431924405906e-01,-1.207043977285384484e+00,-1.061486864987764900e+00,-4.275368694384859003e-01,-8.487920294423214468e-03,7.018210487965835694e-03
2.020202222222222233e+01,1.295419009410422095e+00,-1.061755914270511303e+00,-5.992345949375522673e-01,-1.197970597163097617e+00,-1.066250565663150018e+00,-4.256959417685934888e-01,-7.437563865810803594e-03,5.473012814714447137e-03
3.030303333333333171e+01,1.302099021115057154e+00,-1.050270171656168650e+00,-6.157960188112860944e-01,-1.186983584741097442e+00,-1.069420636340992603e+00,-4.222227320130180761e-01,-6.398737086265023598e-03,3.784880808033661698e-03
4.040404444444444465e+01,1.304316700713277877e+00,-1.039333431415794928e+00,-6.313698148136425159e-01,-1.174082940019385513e+00,-1.070997077021292432e+00,-4.171172401717597733e-01,-5.371439955785879683e-03,1.953814467923480243e-03
5.050505555555555759e+01,1.302072048205084487e+00,-1.028945693549390583e+00,-6.459559829446218648e-01,-1.159268662997960719e+00,-1.070979887704050171e+00,-4.103794662448185249e-01,-4.355672474373371850e-03,-2.018620561609505912e-05
6.060606666666666342e+01,1.295365063590476318e+00,-1.019106958056955836e+00,-6.595545232042233641e-01,-1.142540753676823728e+00,-1.069369068389265376e+00,-4.020094102321943863e-01,-3.351434642027497496e-03,-2.137121212585066377e-03
7.070707777777778347e+01,1.284195746869453814e+00,-1.009817224938490021e+00,-6.721654355924476798e-01,-1.123899212055974539e+00,-1.066164619076937603e+00,-3.920070721338873576e-01,-2.358726458748255754e-03,-4.396990552983435011e-03
8.080808888888888930e+01,1.268564098042016974e+00,-1.001076494193993360e+00,-6.837887201092944789e-01,-1.103344038135412708e+00,-1.061366539767067740e+00,-3.803724519498973833e-01,-1.377547924535650527e-03,-6.799794226811195323e-03
9.090909999999999513e+01,1.248470117108165800e+00,-9.928847658234658535e-01,-6.944243767547637614e-01,-1.080875231915138457e+00,-1.054974830459655344e+00,-3.671055496802245188e-01,-4.078990393896796476e-04,-9.345532234068351651e-03
