time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.355499974344988701e+00,-1.137281664751279786e+00,-5.469919682242728731e-01,-1.292931854613584397e+00,-1.120258125924241233e+00,-3.752237217060173657e-01,-2.415980003409258416e-03,9.182353888286091254e-03
1.010101111111111116e+01,1.355418000189208216e+00,-1.122062953722902767e+00,-5.585513577503499194e-01,-1.258798885987082228e+00,-1.117761602378110508e+00,-3.710874270951408649e-01,-3.402401945534039296e-02,8.849468760399360756e-03
2.020202222222222233e+01,1.340332417086437689e+00,-1.108476764389865199e+00,-5.743201251723439871e-01,-1.221097026796137630e+00,-1.110277303419951345e+00,-3.694555167547940999e-01,-5.375963161992937389e-02,8.620026495606629771e-03
3.030303333333333171e+01,1.310243225036677117e+00,-1.096523096752167081e+00,-5.942982704902555202e-01,-1.179826277040751270e+00,-1.097805229049764408e+00,-3.703279906849771264e-01,-6.162281649717621379e-02,8.494027093907901768e-03
4.040404444444444465e+01,1.265150424039926280e+00,-1.086201950809807526e+00,-6.184857937040844078e-01,-1.134986636720922482e+00,-1.080345379267549255e+00,-3.737048488856898887e-01,-5.761357408708085714e-02,8.471470555303173278e-03
5.050505555555555759e+01,1.205054014096184956e+00,-1.077513326562787643e+00,-6.468826948138304278e-01,-1.086578105836651931e+00,-1.057897754073306107e+00,-3.795860913569325534e-01,-4.192082881362009517e-02,8.552356879792447769e-03
6.060606666666666342e+01,1.129953995205453587e+00,-1.070457224011107211e+00,-6.794889738194936912e-01,-1.034600684387938951e+00,-1.030462353467034076e+00,-3.879717180987050096e-01,-2.367196732088061584e-02,8.736686067375723508e-03
7.070707777777778347e+01,1.039850367367732176e+00,-1.065031465593676563e+00,-7.163046307210743091e-01,-9.790543723747838767e-01,-9.980391774487342715e-01,-3.988617291110070351e-01,-7.903584133779560303e-03,9.024458118053000494e-03
8.080808888888888930e+01,9.347431305830200543e-01,-1.060620813287652231e+00,-7.573296655185721704e-01,-9.199391697971867066e-01,-9.639239938211151548e-01,-4.122561243938390740e-01,5.384320747682997711e-03,9.421621749004736521e-03
9.090909999999999513e+01,8.267109938560341931e-01,-1.056741970038200140e+00,-8.021706152639599408e-01,-8.572889110273780311e-01,-9.403150117327016000e-01,-4.281549039472007934e-01,1.619174732350710938e-02,9.987137365715086784e-03
1.010101111111111152e+02,7.304446165771043553e-01,-1.053394935845320068e+00,-8.450772577898636451e-01,-7.948089595886383973e-01,-9.283542924347831793e-01,-4.502913024177814250e-01,2.451869559369277557e-02,1.073610547133058146e-02
1.111111222222222210e+02,6.459783767949797140e-01,-1.050579710709012460e+00,-8.841505082715443997e-01,-7.350059545340632550e-01,-9.280418359273597817e-01,-4.889103023938167203e-01,3.036516555823997807e-02,1.166852606585122056e-02
1.212121333333333268e+02,5.733122745096600470e-01,-1.048296294629277314e+00,-9.193903667090020937e-01,-6.778798958636522709e-01,-9.393776422104311852e-01,-5.445994640594734593e-01,3.373115721714872728e-02,1.278439914927699886e-02
1.313131444444444469e+02,5.124463097211454654e-01,-1.046544687606114410e+00,-9.507968331022369490e-01,-6.234307835774053341e-01,-9.623617112839980559e-01,-6.173587874147514754e-01,3.461667057041901280e-02,1.408372472160792331e-02
1.414141555555555669e+02,4.633804824294357472e-01,-1.045324889639523525e+00,-9.783699074512487437e-01,-5.716586176753226667e-01,-9.969940431480597276e-01,-7.071882724596505465e-01,3.302170561805083809e-02,1.556650278284399218e-02
1.515151666666666586e+02,4.261147926345313364e-01,-1.044636900729505102e+00,-1.002109589756037478e+00,-5.225633981574042686e-01,-1.040826116251041933e+00,-8.140879191941705617e-01,2.902829904716464071e-02,1.723273333298519505e-02
1.616161777777777786e+02,4.006492403364317334e-01,-1.044480720876059143e+00,-1.022015880016603484e+00,-4.761451250236501398e-01,-1.078105639620091205e+00,-9.319694992619995677e-01,2.443818414895247704e-02,1.908241637203154928e-02
1.717171888888888986e+02,3.869838255351371603e-01,-1.044856350079184981e+00,-1.038088778232946430e+00,-4.324037982740601138e-01,-1.106022053650022041e+00,-1.040185202086940208e+00,1.998784727326107652e-02,2.111555189998304966e-02
1.818181999999999903e+02,3.851177256795194070e-01,-1.045504638904416472e+00,-1.050182937975068898e+00,-3.913394179086344127e-01,-1.124575358340833775e+00,-1.137036903339981864e+00,1.567728842009043222e-02,2.333213991683968230e-02
1.919192111111111103e+02,3.865656843884426319e-01,-1.045834657152934888e+00,-1.057607058918956788e+00,-3.532876063613731854e-01,-1.133765553692526629e+00,-1.222524603021124978e+00,1.150650758944052679e-02,2.573218042260146457e-02
2.020202222222222304e+02,3.831709109883350561e-01,-1.045823409323406672e+00,-1.060271574960784280e+00,-3.186156249949602670e-01,-1.133592639705100824e+00,-1.296648301130370218e+00,7.475504781311367170e-03,2.831567341726839299e-02
2.121212333333333220e+02,3.749334054791964577e-01,-1.045470895415831825e+00,-1.058176486100552038e+00,-2.873236580560596387e-01,-1.124056616378556139e+00,-1.359407997667715806e+00,3.584279995702973308e-03,3.108261890084045714e-02
2.222222444444444420e+02,3.618531678610268365e-01,-1.044777115430209680e+00,-1.051321792338259398e+00,-2.594117055446711895e-01,-1.105157483712892574e+00,-1.410803692633164186e+00,-1.671667673846834179e-04,3.403301687331767439e-02
2.323232555555555621e+02,3.439301981338263037e-01,-1.043742069366540903e+00,-1.039707493673906580e+00,-2.348797674607950026e-01,-1.078469301691334037e+00,-1.450835386026713358e+00,-3.778835507951589564e-03,3.716679409181188748e-02
2.424242666666666537e+02,3.211644962975948592e-01,-1.042365757224825051e+00,-1.023333590107493807e+00,-2.137278438044311057e-01,-1.052867072046443919e+00,-1.479503077848363990e+00,-7.250726225997737757e-03,3.980132864736906501e-02
2.525252777777777737e+02,2.935560623523322810e-01,-1.040648179005062568e+00,-1.002200081639021301e+00,-1.959559345755793602e-01,-1.029738961109242013e+00,-1.496806768098116081e+00,-1.058283892152314491e-02,4.128177396183577152e-02
2.626262888888888938e+02,2.611048962980387911e-01,-1.038589334707253453e+00,-9.763069682684883954e-01,-1.815640397742398493e-01,-1.009084968879727873e+00,-1.502561195071998812e+00,-1.377517359452780192e-02,4.160813003521201398e-02
2.727273000000000138e+02,2.238109981347143340e-01,-1.036189224331397263e+00,-9.498922177877020534e-01,-1.705521594004125729e-01,-9.909050953579020549e-01,-1.494971905355208630e+00,-1.682773024501170792e-02,4.078039686749778542e-02
2.828283111111111339e+02,1.817368510508776958e-01,-1.033846329775094386e+00,-9.293860703477330176e-01,-1.629508589475878177e-01,-9.751993405437645590e-01,-1.473587035342415197e+00,-1.971159675990170543e-02,3.879857445869307891e-02
2.929293222222221971e+02,1.439628333295889795e-01,-1.032416613041467368e+00,-9.148551607049222323e-01,-1.589201201441922395e-01,-9.619677044373151631e-01,-1.438406585033618290e+00,-2.117719417745389174e-02,3.566266280879793610e-02
3.030303333333333171e+02,1.169628043014867280e-01,-1.031928894339756875e+00,-9.062994888592692533e-01,-1.584830517342263878e-01,-9.512101870385538671e-01,-1.389430554428817466e+00,-2.055879737569767454e-02,3.137266191781229452e-02
3.131313444444444372e+02,1.007367639665711356e-01,-1.032383173669963128e+00,-9.037190548107740806e-01,-1.616396537176902903e-01,-9.429267883474806711e-01,-1.326658943528013390e+00,-1.785640635463305037e-02,2.592857178573618193e-02
3.232323555555555572e+02,9.528471232484216069e-02,-1.033779451032085683e+00,-9.071138585594367143e-01,-1.683899260945839749e-01,-9.371175083640959080e-01,-1.250091752331205619e+00,-1.307002111426001402e-02,1.933039241256960875e-02
3.333333666666666772e+02,1.006066493762998448e-01,-1.036117726426124985e+00,-9.164839001052571543e-01,-1.787338688649073581e-01,-9.337823470883992449e-01,-1.159728980838393930e+00,-6.199641654578562019e-03,1.157812379831257149e-02
3.434343777777777973e+02,1.167025751209441881e-01,-1.039397999852080812e+00,-9.318291794482356227e-01,-1.926714820286605234e-01,-9.329213045203905708e-01,-1.055570629049578768e+00,2.754732024411302160e-03,2.671765942965059759e-03
3.535353888888889173e+02,1.435724895587751626e-01,-1.043620271309953162e+00,-9.531496965883717865e-01,-2.102027655858434707e-01,-9.345343806600703296e-01,-9.376166969647597993e-01,1.264408849095098597e-02,-7.388681153472936858e-03
3.636363999999999805e+02,1.812163926897925603e-01,-1.048332695541238646e+00,-9.770685023533894897e-01,-2.313277195364560335e-01,-9.373624201959620539e-01,-8.058671845839383563e-01,2.067059377248956983e-02,-1.860321749100133509e-02
3.737374111111111006e+02,2.256122754011160303e-01,-1.052564682978634147e+00,-9.974957047232428931e-01,-2.539294349302291809e-01,-9.401026715376120668e-01,-6.645672007718465002e-01,2.670812740801216736e-02,-3.097184306962024597e-02
3.838384222222222206e+02,2.644768926078974736e-01,-1.056283553907017447e+00,-1.014307257118695293e+00,-2.713057475637984939e-01,-9.427550407503235697e-01,-5.375108536038272211e-01,3.075668939751871611e-02,-4.449455788932964173e-02
3.939394333333333407e+02,2.969573759297007842e-01,-1.059489308326388990e+00,-1.027503159539747246e+00,-2.829625071216672616e-01,-9.453195278340963403e-01,-4.283969418383279937e-01,3.281627974100923689e-02,-5.917136195012950850e-02
4.040404444444444607e+02,3.230537253665257680e-01,-1.062181946236748775e+00,-1.037083411986398307e+00,-2.888997136038357061e-01,-9.477961327889307119e-01,-3.372254654753486514e-01,3.288689843848370542e-02,-7.479463065398707367e-02
4.141414555555555808e+02,3.427659409183724248e-01,-1.064361467638097025e+00,-1.043048014458648254e+00,-2.891173670103036053e-01,-9.501848556148264624e-01,-2.639964245148893607e-01,3.096854548994213904e-02,-8.680851604510386732e-02
4.242424666666666440e+02,3.560940225852407548e-01,-1.066027872530433518e+00,-1.045396966956497753e+00,-2.836154673410711813e-01,-9.524856963117835917e-01,-2.087098189569503159e-01,2.721425621107651308e-02,-9.335152993353539042e-02
4.343434777777777640e+02,3.630379703671308689e-01,-1.067181160913757809e+00,-1.044130269479946360e+00,-2.723940145961383785e-01,-9.546986548798022110e-01,-1.713656488015309343e-01,2.310724595144857119e-02,-9.442367231928176785e-02
