time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.542139366482231821e+00,-1.101638195907149287e+00,-6.971829547035555130e-01,-1.502744996216574869e+00,-1.115545162398957846e+00,-4.448387069340934419e-01,2.632928657882295173e-03,-9.718814310221498762e-03
1.010101111111111116e+01,1.562547332303200642e+00,-1.100381492046607734e+00,-6.814430996252348605e-01,-1.443148470533635042e+00,-1.095924909339744291e+00,-4.024943281298989928e-01,5.863099962872987160e-03,-5.538578974494529940e-03
2.020202222222222233e+01,1.580130714474152098e+00,-1.099281733497063485e+00,-6.666460252740717962e-01,-1.388365923930667378e+00,-1.077318415993312684e+00,-3.701826024025052231e-01,8.514009896116912779e-03,-1.554902403999984875e-03
3.030303333333333171e+01,1.594889512995086855e+00,-1.098338920258515650e+00,-6.527917316500658762e-01,-1.338397356407671435e+00,-1.059725682359662136e+00,-3.479035297519123549e-01,1.058565845761407116e-02,2.232215401262139035e-03
4.040404444444444465e+01,1.606823727866004026e+00,-1.097553052330965118e+00,-6.398802187532173225e-01,-1.293242767964646545e+00,-1.043146708438792869e+00,-3.356571101781203881e-01,1.207804564736445797e-02,5.822774441291846126e-03
5.050505555555555759e+01,1.615933359086904719e+00,-1.096924129714411444e+00,-6.279114865835261350e-01,-1.252902158601594040e+00,-1.027581494230705328e+00,-3.334433436811291007e-01,1.299117146536808362e-02,9.216774716089129460e-03
6.060606666666666342e+01,1.622218406657787826e+00,-1.096452152408854630e+00,-6.168855351409925358e-01,-1.217375528318513034e+00,-1.013030039735398846e+00,-3.412622302609386593e-01,1.332503591162493770e-02,1.241421622565399077e-02
7.070707777777778347e+01,1.625678870578654678e+00,-1.096137120414295119e+00,-6.068023644256160809e-01,-1.186662877115403747e+00,-9.994923449528742010e-01,-3.591137699175491194e-01,1.307963898613502193e-02,1.541509896998643700e-02
8.080808888888888930e+01,1.626314750849503721e+00,-1.095979033730732466e+00,-5.976619744373969922e-01,-1.160764204992266402e+00,-9.869684098831305041e-01,-3.869979626509602033e-01,1.225498068889833113e-02,1.821942294908645427e-02
9.090909999999999513e+01,1.624126047470336065e+00,-1.095977892358166672e+00,-5.894643651763353809e-01,-1.139679511949100554e+00,-9.754582345261685328e-01,-4.249148084611721887e-01,1.085106101991489304e-02,2.082718816295404951e-02
1.010101111111111152e+02,1.619112760441150822e+00,-1.096133696296597737e+00,-5.822095366424310248e-01,-1.123408797985906649e+00,-9.649618188819877318e-01,-4.728643073481850756e-01,8.867879979184672967e-03,2.323839461158923314e-02
1.111111222222222210e+02,1.611274889761949103e+00,-1.096446445546026105e+00,-5.758974888356842570e-01,-1.111952063102684241e+00,-9.554791629505884343e-01,-5.308464593119986974e-01,6.305437566707688263e-03,2.545304229499199128e-02
1.212121333333333268e+02,1.600612435432730241e+00,-1.096916140106451332e+00,-5.705282217560946334e-01,-1.105309307299433552e+00,-9.470102667319705292e-01,-5.947193724776524970e-01,3.163733782483937190e-03,2.747113121316232046e-02
1.313131444444444469e+02,1.587125397453494013e+00,-1.097542779977873417e+00,-5.661017354036624871e-01,-1.103480530576154806e+00,-9.395551302261340165e-01,-6.541029302886157692e-01,-5.572313734865837198e-04,2.929266136610024149e-02
1.414141555555555669e+02,1.570813775824241088e+00,-1.098326365160292362e+00,-5.626180297783877071e-01,-1.106465732932847557e+00,-9.331137534330791183e-01,-7.084998068815490102e-01,-4.857457901203874467e-03,3.091763275380574050e-02
1.515151666666666586e+02,1.551677570544971019e+00,-1.099266895653708609e+00,-5.600771048802701824e-01,-1.114117795443305026e+00,-9.276861363528050575e-01,-7.579100022564518868e-01,-9.736945800667928114e-03,3.234604537627881055e-02
1.616161777777777786e+02,1.530757671515752261e+00,-1.100364371458121493e+00,-5.584789607093103569e-01,-1.122432494186295315e+00,-9.232429567691735617e-01,-8.023335164133248432e-01,-1.519569507187875160e-02,3.358175310985659495e-02
1.717171888888888986e+02,1.510953087614144597e+00,-1.101618792573531680e+00,-5.575856850838942780e-01,-1.129610655280949505e+00,-9.192429458065232151e-01,-8.417703493521677682e-01,-2.105189538018200496e-02,3.468059293219860617e-02
1.818181999999999903e+02,1.492434743731252178e+00,-1.103028749074013382e+00,-5.564341294692146667e-01,-1.135652278727268039e+00,-9.154829107250599396e-01,-8.762205010729804400e-01,-2.635534750540147186e-02,3.566091241883844604e-02
1.919192111111111103e+02,1.475202639867075671e+00,-1.104584228978960248e+00,-5.549222640076773017e-01,-1.140557364525250250e+00,-9.119628515247837353e-01,-9.056839715757634135e-01,-3.096902180235693025e-02,3.652271156977611455e-02
2.020202222222222304e+02,1.459256776021613744e+00,-1.106283275033100422e+00,-5.530500886992824050e-01,-1.144325912674896806e+00,-9.086827682056946021e-01,-9.301607608605162447e-01,-3.489291827104835236e-02,3.726599038501161865e-02
2.121212333333333220e+02,1.444597152194867284e+00,-1.108125887236434348e+00,-5.508176035440296436e-01,-1.146957923176207927e+00,-9.056426607677929841e-01,-9.496508689272387116e-01,-3.812703691147571738e-02,3.789074886454496527e-02
2.222222444444444420e+02,1.431223768386836293e+00,-1.110112065588961805e+00,-5.482248085419195727e-01,-1.148453396029182949e+00,-9.028425292110783262e-01,-9.641542957759314803e-01,-4.067137772363906001e-02,3.839698700837613360e-02
2.323232555555555621e+02,1.419136624597520546e+00,-1.112241810090682570e+00,-5.452717036929514149e-01,-1.148812331233822093e+00,-9.002823735355509616e-01,-9.736710414065941066e-01,-4.252594070753835942e-02,3.878470481650514445e-02
2.424242666666666537e+02,1.408335720826919824e+00,-1.114515120741596643e+00,-5.419582889971257256e-01,-1.148034728790125136e+00,-8.979621937412104460e-01,-9.782011058192261466e-01,-4.369072586317362256e-02,3.905390228893198395e-02
2.525252777777777737e+02,1.398821057075034568e+00,-1.116931997541704469e+00,-5.382845644544425046e-01,-1.146120588698092302e+00,-8.958819898280573346e-01,-9.777444890138287104e-01,-4.416573319054484942e-02,3.920457942565665904e-02
2.626262888888888938e+02,1.390592633341864559e+00,-1.119492440491005603e+00,-5.342505300649015298e-01,-1.143069910957723589e+00,-8.940417617960912944e-01,-9.723011909904009098e-01,-4.395096268965203307e-02,3.923673622667916971e-02
2.727273000000000138e+02,1.383650449627410017e+00,-1.122196449589500267e+00,-5.298561858285028014e-01,-1.138882695569018999e+00,-8.924415096453124363e-01,-9.623075663787364897e-01,-4.304641436049518044e-02,3.915037269199950209e-02
2.828283111111111339e+02,1.377994505931670499e+00,-1.125044024837188239e+00,-5.251015317452465414e-01,-1.133558942531978975e+00,-8.910812333757209824e-01,-9.518068714830770771e-01,-4.145208820307427072e-02,3.894548882161767700e-02
2.929293222222221971e+02,1.373624802254646671e+00,-1.128035166234069742e+00,-5.199865678151326387e-01,-1.127098651846602628e+00,-8.899609329873161556e-01,-9.417838952253269058e-01,-3.916798421738935942e-02,3.862208461553368749e-02
3.030303333333333171e+02,1.370541338596337866e+00,-1.131169873780144774e+00,-5.145112940381608713e-01,-1.119501823512891070e+00,-8.890806084800988440e-01,-9.322386376054857537e-01,-3.619410240344039104e-02,3.818016007374752663e-02
3.131313444444444372e+02,1.368744114956744529e+00,-1.134448147475413116e+00,-5.086757104143315722e-01,-1.110768457530842968e+00,-8.884402598540686036e-01,-9.231710986235533989e-01,-3.261228370702225904e-02,3.761971519625920135e-02
3.232323555555555572e+02,1.368226759571106177e+00,-1.137869987319875209e+00,-5.024798169436446305e-01,-1.100898553900459209e+00,-8.880398871092255453e-01,-9.145812782795300633e-01,-2.897093130630788715e-02,3.694074998306870472e-02
3.333333666666666772e+02,1.368405243339321009e+00,-1.141435393313530389e+00,-4.959236136260999350e-01,-1.090459167353878378e+00,-8.878794902455696691e-01,-9.064691765734156359e-01,-2.537172208521317959e-02,3.614326443417605061e-02
3.434343777777777973e+02,1.368898905586803494e+00,-1.145144365456379543e+00,-4.890071004616975414e-01,-1.080998358224727562e+00,-8.879113167305663357e-01,-8.988347935052103388e-01,-2.181465604373813982e-02,3.530784642263264106e-02
3.535353888888889173e+02,1.369707746313553853e+00,-1.148951839307031042e+00,-4.823579141983715957e-01,-1.072604038654016989e+00,-8.880636327194696422e-01,-8.916781290749141720e-01,-1.829973318188275744e-02,3.460385172299949158e-02
3.636363999999999805e+02,1.370831765519571865e+00,-1.152509572518239711e+00,-4.766432460830308804e-01,-1.065276208641746214e+00,-8.883357293408453703e-01,-8.849991832825270244e-01,-1.482695349964706540e-02,3.403667169246785140e-02
3.737374111111111006e+02,1.372270963204857752e+00,-1.155744271632438647e+00,-4.718632506988570396e-01,-1.059014868187915459e+00,-8.887276065946930759e-01,-8.787979561280487850e-01,-1.139631699703100645e-02,3.360630633103771359e-02
3.838384222222222206e+02,1.374025339369411514e+00,-1.158655936649629181e+00,-4.680179280458502400e-01,-1.053820017292525169e+00,-8.892392644810133140e-01,-8.730744476114796759e-01,-8.007823674034615299e-03,3.331275563870907813e-02
3.939394333333333407e+02,1.376094894013232928e+00,-1.161244567569809982e+00,-4.651072781240100373e-01,-1.049691655955574676e+00,-8.898707029998055296e-01,-8.678286577328193641e-01,-4.661473530657891939e-03,3.315601961548195892e-02
4.040404444444444607e+02,1.378479627136321994e+00,-1.163510164392981272e+00,-4.631313009333368202e-01,-1.046629784177063982e+00,-8.906219221510703887e-01,-8.630605864920682935e-01,-1.357266566900823361e-03,3.313609826135633513e-02
4.141414555555555808e+02,1.381179538738679380e+00,-1.165452727119143272e+00,-4.620899964738305332e-01,-1.044634401956993530e+00,-8.914929219348074474e-01,-8.587702338892260201e-01,1.904797217236579160e-03,3.325299157633222757e-02
