time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.253797192191992815e+00,-1.034210272759919613e+00,-5.916756746765003960e-01,-1.444518565297109314e+00,-1.074125734481934824e+00,-4.222605322419756280e-01,-9.204072304035719118e-03,4.003903394334216710e-04
1.010101111111111116e+01,1.238028740068360056e+00,-1.028665563592016996e+00,-6.271228801510737583e-01,-1.465200034482093683e+00,-1.059215107120215382e+00,-4.433746231472789345e-01,2.724093553626646610e-02,-5.108082065554914696e-03
2.020202222222222233e+01,1.223108170093776925e+00,-1.023546144647618394e+00,-6.591375676266504335e-01,-1.482936549463104825e+00,-1.047046607149520359e+00,-4.626200635837923181e-01,5.864494139476916085e-02,-1.026528363037164382e-02
3.030303333333333171e+01,1.209035482268242090e+00,-1.018852015926723364e+00,-6.877197371032307549e-01,-1.497728110240143407e+00,-1.037620234569848865e+00,-4.799968535515153900e-01,8.500794527147231827e-02,-1.507121435501676196e-02
4.040404444444444465e+01,1.195810676591756438e+00,-1.014583177429331462e+00,-7.128693885808147224e-01,-1.509574716813208983e+00,-1.030935989381200457e+00,-4.955049930504485389e-01,1.063299471663760182e-01,-1.952587423949027345e-02
5.050505555555555759e+01,1.183433753064319749e+00,-1.010739629155443575e+00,-7.345865220594021139e-01,-1.518476369182301777e+00,-1.026993871583576468e+00,-5.091444820805913762e-01,1.226109470794801704e-01,-2.362926328379218524e-02
6.060606666666666342e+01,1.171904711685932021e+00,-1.007321371105059038e+00,-7.528711375389929294e-01,-1.524433067347421566e+00,-1.025793881176975786e+00,-5.209153206419444571e-01,1.338509450107847887e-01,-2.738138148792246609e-02
7.070707777777778347e+01,1.161223552456593477e+00,-1.004328403278178072e+00,-7.677232350195872801e-01,-1.527444811308568795e+00,-1.027336018161399078e+00,-5.308175087345072818e-01,1.400499409602899425e-01,-3.078222885188116112e-02
8.080808888888888930e+01,1.151390275376303673e+00,-1.001760725674800678e+00,-7.791428145011853879e-01,-1.527511601065743019e+00,-1.031620282536845901e+00,-5.388510463582800725e-01,1.412079349279956042e-01,-3.383180537566823909e-02
9.090909999999999513e+01,1.142404880445063053e+00,-9.996183382949269669e-01,-7.871298759837868086e-01,-1.524633436618944238e+00,-1.038646674303316253e+00,-5.450159335132627181e-01,1.373249269139017181e-01,-3.653011105928370694e-02
1.010101111111111152e+02,1.134267367662871395e+00,-9.979012411385568271e-01,-7.916844194673917645e-01,-1.518810317968172896e+00,-1.048415193460810357e+00,-5.493121701994552186e-01,1.284009169180083676e-01,-3.887714590272757509e-02
1.111111222222222210e+02,1.126977737029728477e+00,-9.966094342056903699e-01,-7.928064449520004775e-01,-1.510042245113428550e+00,-1.060925840009327992e+00,-5.517397564168577961e-01,1.144359049403154832e-01,-4.087290990599982965e-02
1.212121333333333268e+02,1.120535988545634742e+00,-9.957429174963272622e-01,-7.904959524376125035e-01,-1.498329218054711198e+00,-1.076178613948869600e+00,-5.522986921654702286e-01,9.542989098082309274e-02,-4.251740306910046369e-02
1.313131444444444469e+02,1.114942122210589970e+00,-9.953016910104678372e-01,-7.848053729450613636e-01,-1.483671272158835874e+00,-1.094173515279434961e+00,-5.509889774452925160e-01,7.138287503953116842e-02,-4.381062539202950495e-02
1.414141555555555669e+02,1.110196138024594159e+00,-9.952857547481122058e-01,-7.782739794490057816e-01,-1.468863507672974800e+00,-1.114910544001023851e+00,-5.478106122563246583e-01,4.229485711643976575e-02,-4.475257687478692570e-02
1.515151666666666586e+02,1.106298035987647310e+00,-9.956951087092598129e-01,-7.723040210594716015e-01,-1.456661501559542771e+00,-1.137575240858797354e+00,-5.427635965985668776e-01,8.165837211548926389e-03,-4.534325751737275367e-02
1.616161777777777786e+02,1.103247816099749645e+00,-9.965297528939114358e-01,-7.668954977764594894e-01,-1.447065253818539787e+00,-1.158011416478138100e+00,-5.358479304720189518e-01,-3.055667620419150188e-02,-4.558866909491035568e-02
1.717171888888888986e+02,1.100925527281063632e+00,-9.976598206250401057e-01,-7.620484095999688900e-01,-1.440074764449965850e+00,-1.175635352944460532e+00,-5.270636138766808809e-01,-6.705826721512941901e-02,-4.552238253556809000e-02
1.818181999999999903e+02,1.099135430065217633e+00,-9.988438758063734602e-01,-7.577627565299999146e-01,-1.435690033453821179e+00,-1.190447050257763983e+00,-5.171194509352984303e-01,-9.903426428421362171e-02,-4.514960516615917213e-02
1.919192111111111103e+02,1.097874746969853321e+00,-1.000076495966045975e+00,-7.540385385665526741e-01,-1.433911060830105333e+00,-1.202446508418049342e+00,-5.069475517795898334e-01,-1.264846674114441516e-01,-4.447033698668360208e-02
2.020202222222222304e+02,1.097143477994971361e+00,-1.001357681104057873e+00,-7.508757557096272794e-01,-1.434737846578818976e+00,-1.211633727425315943e+00,-4.965521483141857595e-01,-1.494094765968209670e-01,-4.348457799714134514e-02
2.121212333333333220e+02,1.096941623140571309e+00,-1.002687431220409042e+00,-7.482744079592232866e-01,-1.438170390699961665e+00,-1.218008707279563563e+00,-4.859332405390866527e-01,-1.678086918403440264e-01,-4.219232819753242908e-02
2.222222444444444420e+02,1.097269182406653165e+00,-1.004065746315099483e+00,-7.462344953153412508e-01,-1.444208693193533399e+00,-1.221571447980793312e+00,-4.750908284542922910e-01,-1.816823131420134685e-01,-4.059358758785684002e-02
2.323232555555555621e+02,1.098126155793217151e+00,-1.005492626388129640e+00,-7.447560177779806168e-01,-1.452852754059534401e+00,-1.222321949529004304e+00,-4.640249120598028409e-01,-1.910303405018292100e-01,-3.868835616811458489e-02
