time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.392134041992443061e+00,-1.057916939092968578e+00,-7.040187051795024908e-01,-1.402040995492342734e+00,-1.166896449807022229e+00,-2.736646517196676953e-01,2.150649230105832529e-03,1.231171750614518633e-02
1.010101111111111116e+01,1.370665931800897130e+00,-1.049703101146408857e+00,-7.187649833885251249e-01,-1.321419809101238130e+00,-1.153612283561189944e+00,-3.050171770214170075e-01,-2.916896721731687854e-03,1.426350887380876085e-02
2.020202222222222233e+01,1.350072809409736507e+00,-1.041702275693168422e+00,-7.330557619635186262e-01,-1.242325671175760649e+00,-1.140142431050079397e+00,-3.353748630124070429e-01,-7.589121654993761373e-03,1.617151721612821239e-02
3.030303333333333171e+01,1.330354674818961414e+00,-1.033914462733247719e+00,-7.468910409044834386e-01,-1.164758581715909624e+00,-1.126486892273690810e+00,-3.647377096926379680e-01,-1.186602556968038673e-02,1.803574253310355480e-02
4.040404444444444465e+01,1.311511528028571849e+00,-1.026339662266645858e+00,-7.602708202114193403e-01,-1.088718540721686168e+00,-1.112645667232023072e+00,-3.931057170621096164e-01,-1.574760846579157519e-02,1.985618482473478288e-02
5.050505555555555759e+01,1.293543369038567370e+00,-1.018977874293363062e+00,-7.731950998843262202e-01,-1.014205548193088280e+00,-1.098618755925077961e+00,-4.204788851208219880e-01,-1.923387034332731463e-02,2.163284409102188971e-02
6.060606666666666342e+01,1.276450197848947754e+00,-1.011829098813399996e+00,-7.856638799232040782e-01,-9.412196041301176264e-01,-1.084406158352853700e+00,-4.468572138687750828e-01,-2.232481120228760330e-02,2.336572033196488221e-02
7.070707777777778347e+01,1.260232014459713668e+00,-1.004893335826756218e+00,-7.976771603280528034e-01,-8.697607085327737630e-01,-1.070007874515351620e+00,-4.722407033059689008e-01,-2.502043104267245160e-02,2.505481354756376039e-02
8.080808888888888930e+01,1.244888818870864666e+00,-9.981705853334318368e-01,-8.092349410988729508e-01,-7.998288614010563569e-01,-1.055423904412571723e+00,-4.966293534324036085e-01,-2.732072986448184915e-02,2.670012373781851731e-02
9.090909999999999513e+01,1.230420611082401416e+00,-9.916608473334268536e-01,-8.203372222356641874e-01,-7.314240627349659629e-01,-1.040654248044512675e+00,-5.200231642480790395e-01,-2.922570766771580980e-02,2.830165090272915990e-02
1.010101111111111152e+02,1.216827391094323030e+00,-9.853641218267411572e-01,-8.309840037384261802e-01,-6.645463125345021371e-01,-1.025698905411175810e+00,-5.424221357529951382e-01,-3.073536445237431622e-02,2.985939504229568817e-02
1.111111222222222210e+02,1.204109158906630395e+00,-9.792804088133748586e-01,-8.411752856071593731e-01,-5.991956107996653236e-01,-1.010557876512560904e+00,-5.638262679471521821e-01,-3.184970021845738575e-02,3.137335615651810211e-02
1.212121333333333268e+02,1.192265914519322845e+00,-9.734097082933277356e-01,-8.509110678418637663e-01,-5.353719575304547451e-01,-9.952311613486669595e-01,-5.842355608305498382e-01,-3.256871496596499410e-02,3.284353424539639132e-02
1.313131444444444469e+02,1.181297657932400380e+00,-9.677520202665998994e-01,-8.601913504425390267e-01,-4.730753527268710679e-01,-9.797187599194949748e-01,-6.036500144031883286e-01,-3.289240869489716557e-02,3.426992930893057315e-02
1.414141555555555669e+02,1.171204389145863223e+00,-9.623073447331916830e-01,-8.690161334091853762e-01,-4.123057963889141808e-01,-9.640206722250451721e-01,-6.220696286650676532e-01,-3.282078140525390708e-02,3.565254134712064066e-02
1.515151666666666586e+02,1.161986108159711595e+00,-9.570756816931026423e-01,-8.773854167418028149e-01,-3.530632885165841950e-01,-9.481368982653165522e-01,-6.394944036161875900e-01,-3.235383309703518395e-02,3.699137035996657996e-02
