time,left_1,left_2,left_3,right_1,right_2,right_3,head_1,head_2
0.000000000000000000e+00,1.418751216601761733e+00,-1.020674427293272624e+00,-6.399849045480124898e-01,-1.455712920539590227e+00,-1.025309582935743924e+00,-5.632497441733825827e-01,2.634741986975277887e-03,2.657761192405617284e-03
1.010101111111111116e+01,1.376150328461120509e+00,-1.013613541887878666e+00,-5.976068344930861587e-01,-1.402556686785032802e+01,-1.039004056069851689e+00,-4.973859674717163726e-01,7.166568349510532392e-03,4.482277651706217426e-03
2.020202222222222233e+01,1.332388110829234584e+00,-1.005487847495958542e+00,-5.619111430833692022e-01,-2.505998220804045928e+01,-1.049254417098330450e+00,-4.438012480407946825e-01,1.126759175993004292e-02,6.266035228355801810e-03
3.030303333333333171e+01,1.287464563706102405e+00,-9.962973441175115852e-01,-5.328978303188615095e-01,-3.455895894110998512e+01,-1.056060666021180872e+00,-4.024955858806175124e-01,1.493781221823381293e-02,8.009033922354368701e-03
4.040404444444444465e+01,1.241379687091725303e+00,-9.860420317525381284e-01,-5.105668961995633026e-01,-4.252249706705889309e+01,-1.059422802838402733e+00,-3.734689809911848624e-01,1.817722972442184504e-02,9.711273733701912894e-03
5.050505555555555759e+01,1.194133480986102835e+00,-9.747219104010383939e-01,-4.949183407254739708e-01,-4.895059658588719742e+01,-1.059340827549995590e+00,-3.567214333724967879e-01,2.098584427849413403e-02,1.137275466239844220e-02
6.060606666666666342e+01,1.145725945389235223e+00,-9.623369800630121595e-01,-4.859521638965939028e-01,-5.384325749759489810e+01,-1.055814740155959885e+00,-3.522529430245533444e-01,2.336365588045067471e-02,1.299347670844395661e-02
7.070707777777778347e+01,1.096157080301121800e+00,-9.488872407384594254e-01,-4.836683657129232650e-01,-5.720047980218198802e+01,-1.048844540656295621e+00,-3.600635099473543099e-01,2.531066453029148094e-02,1.457343987183845266e-02
8.080808888888888930e+01,1.045426885721763455e+00,-9.343726924273800805e-01,-4.880669461744618909e-01,-5.902226349964846008e+01,-1.038430229051002351e+00,-3.801531341408998510e-01,2.682687022801653540e-02,1.611264415258192514e-02
9.090909999999999513e+01,9.935353616511596320e-01,-9.187933351297745688e-01,-4.991479052812097805e-01,-5.930860858999432139e+01,-1.024571805340080743e+00,-4.125218156051899121e-01,2.791227297362585888e-02,1.761108955067438447e-02
1.010101111111111152e+02,9.404825080893103317e-01,-9.021491688456423352e-01,-5.169112430331668229e-01,-5.805951507321958616e+01,-1.007269269523530575e+00,-4.571695543402245487e-01,2.856687276711943752e-02,1.906877606611582371e-02
1.111111222222222210e+02,8.862683250362158871e-01,-8.844401935749834909e-01,-5.413569594303333510e-01,-5.527498294932424017e+01,-9.865226216013516236e-01,-5.140963503460037609e-01,2.879066960849727824e-02,2.048570369890624632e-02
1.212121333333333268e+02,8.308928124918758540e-01,-8.656664093177983688e-01,-5.724850544727089208e-01,-5.095501221830830474e+01,-9.623318615735441117e-01,-5.831118542529999393e-01,2.858366349775936371e-02,2.186187244904565230e-02
1.313131444444444469e+02,7.743559704562905655e-01,-8.458278160740867468e-01,-6.094663508696345211e-01,-4.509960288017172303e+01,-9.350434951453087118e-01,-6.539142267550828169e-01,2.794585443490571475e-02,2.319728231653403819e-02
1.414141555555555669e+02,7.166577989294599105e-01,-8.249244138438485141e-01,-6.455976400221177247e-01,-3.770875493491453767e+01,-9.083313882177150855e-01,-7.206236904300430401e-01,2.687724241993633134e-02,2.449193330137141439e-02
1.515151666666666586e+02,6.577982979113841111e-01,-8.029562026270841146e-01,-6.794137570477218890e-01,-2.878246838253677709e+01,-8.831830560095743632e-01,-7.832402452778803870e-01,2.537782745285119615e-02,2.574582540355775315e-02
1.616161777777777786e+02,5.977774674020626122e-01,-7.799231824237929933e-01,-7.109147019464471251e-01,-1.832074322303837732e+01,-8.595984985208870999e-01,-8.417638912985947464e-01,2.344760953365032305e-02,2.695895862309308916e-02
1.717171888888888986e+02,5.365953074014957469e-01,-7.558253532339753722e-01,-7.401004747182934329e-01,-6.323579456419359701e+00,-8.375777157516527405e-01,-8.961946284921864514e-01,2.108658866233370510e-02,2.813133295997740507e-02
1.818181999999999903e+02,4.744966391556121321e-01,-7.308852924848660004e-01,-7.669710753632609235e-01,6.740493779586056000e+00,-8.171207077018715070e-01,-9.465324568586552800e-01,1.829476483890135965e-02,2.926294841421069742e-02
1.919192111111111103e+02,4.119154591312685354e-01,-7.066961133843195908e-01,-7.915265038813493748e-01,1.895163948919500996e+01,-7.982274743715433996e-01,-9.927773763980014543e-01,1.507213806335324854e-02,3.035380498579297315e-02
2.020202222222222304e+02,3.488601149077049657e-01,-6.835714703362861799e-01,-8.137667602725590088e-01,3.010320482409701981e+01,-7.808980157606684180e-01,-1.034929387110224530e+00,1.141870833568940993e-02,3.133100758664803670e-02
2.121212333333333220e+02,2.853306064849216450e-01,-6.615113633407657678e-01,-8.336918445368896036e-01,4.019518978429206868e+01,-7.651323318692465625e-01,-1.072988488995324952e+00,7.334475655909829944e-03,3.209168369251748365e-02
2.222222444444444420e+02,2.213269338629181571e-01,-6.405157923977583545e-01,-8.513017566743414921e-01,4.922759436978019920e+01,-7.509304226972777219e-01,-1.106954682053302497e+00,2.819440024014505108e-03,3.263510003931573145e-02
2.323232555555555621e+02,1.568490970416948627e-01,-6.205847575072637179e-01,-8.665964966849142304e-01,5.720041858056141848e+01,-7.382922882447618962e-01,-1.136827966284157165e+00,-2.126398559996564575e-03,3.296125662704278009e-02
2.424242666666666537e+02,9.189709602125184507e-02,-6.017182586692823021e-01,-8.795760645686081514e-01,6.411366241663567678e+01,-7.272179285116994185e-01,-1.162608341687888958e+00,-7.503040096123361757e-03,3.307015345569863651e-02
2.525252777777777737e+02,2.647093080158868794e-02,-5.839162958838136630e-01,-8.902404603254232551e-01,6.996732587800300962e+01,-7.177073434980898448e-01,-1.184295808264498095e+00,-1.331048458436591767e-02,3.296179052528331460e-02
2.626262888888888938e+02,-3.942939861729434503e-02,-5.671788691508579117e-01,-8.985896839553595417e-01,7.476140896466340280e+01,-7.097605332039335080e-01,-1.201890366013984579e+00,-1.868904576539094295e-02,3.263616783579677966e-02
2.727273000000000138e+02,-1.058038922353973788e-01,-5.515059784704153811e-01,-9.046237354584167889e-01,7.849591167661688473e+01,-7.033774976292300751e-01,-1.215392014936347742e+00,-2.264450597389547695e-02,3.209328538723905250e-02
2.828283111111111339e+02,-1.726525500527202606e-01,-5.368976238424856273e-01,-9.083426148345947748e-01,8.117083401386341279e+01,-6.985582367739798793e-01,-1.224800755031588473e+00,-2.517557454319642452e-02,3.133314317961013312e-02
2.929293222222221971e+02,-2.399753720692626713e-01,-5.233538052670689833e-01,-9.097463220838941655e-01,8.278617597640300119e+01,-6.953027506381829204e-01,-1.230116586299706327e+00,-2.628225147329376482e-02,3.035574121291002847e-02
3.030303333333333171e+02,-3.077723582850254713e-01,-5.108745227441652270e-01,-9.088348572063147390e-01,8.334193756423569255e+01,-6.936110392218388654e-01,-1.231339508740701305e+00,-2.596453676418752909e-02,2.916107948713871426e-02
3.131313444444444372e+02,-3.760435087000081333e-01,-4.994597762737744695e-01,-9.056082202018563843e-01,8.283811877736140161e+01,-6.934831025249479364e-01,-1.228469522354573407e+00,-2.422243041587768958e-02,2.774915800229622170e-02
3.232323555555555572e+02,-4.447888233142107683e-01,-4.891095658558967108e-01,-9.000664110705188792e-01,8.127471961578022785e+01,-6.949189405475100223e-01,-1.221506627141322632e+00,-2.105593242836425322e-02,2.611997675838251959e-02
3.333333666666666772e+02,-5.140083021276332653e-01,-4.798238914905317842e-01,-8.922094298123026679e-01,7.865174007949208601e+01,-6.979185532895255673e-01,-1.210478790589196274e+00,-1.646504280164722694e-02,2.427353575539763914e-02
3.434343777777777973e+02,-5.837019451402756243e-01,-4.716027531776798010e-01,-8.820372764272075283e-01,7.496918016849699029e+01,-7.024819407509939051e-01,-1.198183091751060525e+00,-1.044976153572659688e-02,2.220983499334155606e-02
3.535353888888889173e+02,-6.538697523521379562e-01,-4.644461509173409830e-01,-8.701520726585272314e-01,7.022703988279498333e+01,-7.082087988337152362e-01,-1.186476961000407115e+00,-3.075502451381583510e-03,1.992887447221427730e-02
3.636363999999999805e+02,-7.244973724016473549e-01,-4.583540847095149418e-01,-8.585437864427297727e-01,6.442531922238607933e+01,-7.136930911343200012e-01,-1.175360398337236489e+00,4.596404885845882006e-03,1.743065419201581673e-02
