0,1,2,3,4,5,6,7
81.12,-78.03,-15.23,-85.2,-67.24,-17.2,-6.34,-1.48
84.3,-71.62,-23.0,-84.2,-67.72,-17.2,-6.34,-1.48
-19.41,-30.1,-60.27,36.67,-39.64,-32.59,2.2,0.11
-43.91,-29.77,-57.55,41.99,-29.28,-45.51,2.2,0.11
-86.71,-15.53,-41.09,80.74,-21.37,-38.01,-6.34,-1.48
-90.0,-18.92,-40.87,29.68,-36.87,-51.93,0.0,11.34
-90.0,-23.48,-39.08,30.96,-31.24,-49.51,0.0,11.34
-93.11,-14.24,-49.72,40.27,-31.11,-52.8,0.0,9.33
-93.29,-5.98,-58.65,43.91,-30.45,-53.61,-4.76,9.43
-83.8,-11.12,-56.57,92.81,-21.53,-51.47,-6.34,-1.48
90.0,-55.15,-28.16,32.35,-34.59,-32.37,0.0,2.57
-25.17,-28.69,-61.97,33.13,-39.14,-36.48,2.2,0.11
-25.17,-29.46,-54.8,30.96,-33.2,-43.93,2.2,0.11
-40.27,-30.41,-56.78,28.7,-30.65,-43.84,2.2,0.11
-38.66,-37.2,-54.63,25.17,-35.44,-37.91,2.2,0.11
-16.22,-36.51,-58.62,27.47,-41.02,-30.82,2.2,0.11
-50.19,-17.08,-46.52,38.25,-24.98,-63.27,2.2,0.11
-43.75,-23.26,-39.34,45.75,-23.75,-67.82,2.2,0.11
-50.19,-17.08,-46.52,41.99,-23.98,-64.44,2.2,0.11
25.64,-33.48,-43.58,-4.36,-31.59,-36.1,5.71,1.1
-3.34,-47.18,-44.97,16.22,-46.72,-23.37,2.2,0.11
-8.41,-39.08,-49.16,36.67,-39.64,-32.59,2.2,0.11
-42.17,-36.74,-58.34,30.96,-36.13,-37.05,2.2,0.11
