0,1,2,3,4,5,6,7
79.96,-68.22,-17.06,-92.33,-65.63,-7.4,0.0,2.57
-43.75,-23.26,-39.34,-50.19,-80.79,37.15,0.0,9.33
49.56,-60.24,-56.49,3.34,-50.51,-49.98,-5.71,2.7
99.24,-57.89,-30.7,0.96,-47.14,-38.79,-6.34,-1.48
3.98,-37.69,-47.79,16.95,-31.11,-46.49,0.0,2.57
1.49,-43.26,-31.18,6.23,-35.81,-37.45,-0.0,0.97
3.98,-52.37,-60.52,26.35,-45.64,-31.29,2.2,0.11
-1.0,-36.77,-55.17,66.5,-13.34,-70.26,-12.53,-1.05
16.7,-51.69,-61.44,3.34,-89.43,26.84,0.07,-3.36
87.67,-55.47,-27.72,-94.84,-49.39,-26.35,0.0,2.57
91.3,-66.02,-31.96,-85.35,-55.03,-31.45,0.0,2.57
-20.9,-53.25,-55.98,10.83,-46.93,-57.91,0.0,2.57
-81.21,-14.65,-59.28,78.35,-16.14,-57.62,2.2,0.11
-27.47,-35.08,-44.77,3.48,-94.36,37.78,0.0,2.57
11.31,-41.13,-46.55,-39.39,-57.53,-21.79,0.0,2.57
25.73,-51.38,-39.43,-36.13,-56.2,-29.86,0.0,2.57
-11.31,-55.01,-63.81,-6.45,-56.58,-58.15,2.2,0.11
-59.13,-44.21,-74.98,28.7,-53.77,-69.17,0.07,-3.36
-38.25,-42.04,-74.34,13.79,-52.78,-63.38,0.07,-3.36
-55.41,-38.57,-78.86,51.6,-40.84,-79.46,2.2,0.11
126.06,-71.53,-27.51,-16.01,-46.01,-46.49,-5.71,1.1
