s,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
100,16,1129,"1,64986450074555E+018",teacup,,,,,,,,,
315,16,1389,"1,64986450154247E+018",teapot,,,,,,,,,
375,16,1573,"1,64986450205492E+018",spoon,,,,,,,,,
712,16,1960,"1,6498645032062E+018",ladle,,,,,,,,,
805,16,2053,"1,64986450346275E+018",initial,,,,,,,,,
827,16,2177,"1,64986450378624E+018",shallow_plate,,,,,,,,,
865,16,2391,"1,64986450453421E+018",dinner_plate,,,,,,,,,
923,16,2631,"1,64986450522749E+018",knife,,,,,,,,,
1023,16,2898,"1,64986450600631E+018",fork,,,,,,,,,
1122,16,3187,"1,64986450688565E+018",salt_shaker_right,,,,,,,,,
1137,16,3202,"1,64986450694127E+018",salt_shaker_left,,,,,,,,,
1362,16,3475,"1,64986450780335E+018",sugar_bowl,,,,,,,,,
1563,16,3762,"1,64986450865741E+018",mixer,,,,,,,,,
1613,16,3901,"1,6498645093017E+018",pressure_cooker,,,,,,,,,
63,18,1122,"1,64986453704275E+018",teacup,,,,,,,,,
182,18,1421,"1,64986453793968E+018",teapot,,,,,,,,,
212,18,1585,"1,64986453859089E+018",spoon,,,,,,,,,
253,18,1648,"1,64986453881655E+018",ladle,,,,,,,,,
391,18,1849,"1,64986453944345E+018",shallow_plate,,,,,,,,,
463,18,1975,"1,64986453982996E+018",dinner_plate,,,,,,,,,
471,18,2675,"1,64986454210874E+018",initial,,,,,,,,,
499,18,2703,"1,64986454219577E+018",fork,,,,,,,,,
620,18,3012,"1,64986454317862E+018",salt_shaker_right,,,,,,,,,
631,18,3023,"1,64986454321952E+018",salt_shaker_left,,,,,,,,,
757,18,3235,"1,64986454399311E+018",sugar_bowl,,,,,,,,,
800,18,3405,"1,64986454465071E+018",mixer,,,,,,,,,
78,17,870,"1,64986451504745E+018",teacup,,,,,,,,,
269,17,1120,"1,64986451510052E+018",teapot,,,,,,,,,
368,17,1352,"1,64986451515049E+018",spoon,,,,,,,,,
458,17,1488,"1,64986451517963E+018",ladle,,,,,,,,,
591,17,1973,"1,64986451528461E+018",shallow_plate,,,,,,,,,
645,17,2132,"1,64986451531823E+018",knife,,,,,,,,,
776,17,2357,"1,64986451536748E+018",fork,,,,,,,,,
847,17,2567,"1,64986451541205E+018",salt_shaker_left,,,,,,,,,
859,17,2579,"1,64986451541454E+018",salt_shaker_right,,,,,,,,,
1000,17,2847,"1,64986451547141E+018",sugar_bowl,,,,,,,,,
1047,17,3013,"1,64986451550675E+018",mixer,,,,,,,,,
1110,17,3157,"1,64986451553898E+018",pressure_cooker,,,,,,,,,
111,19,371,"1,64986457054477E+018",teacup,,,,,,,,,
227,19,540,"1,64986457122584E+018",teapot,,,,,,,,,
321,19,751,"1,64986457193865E+018",spoon,,,,,,,,,
657,19,1094,"1,64986457300944E+018",ladle,,,,,,,,,
670,19,1107,"1,6498645730406E+018",initial,,,,,,,,,
680,19,1159,"1,64986457322146E+018",shallow_plate,,,,,,,,,
771,19,2896,"1,64986457906942E+018",dinner_plate,,,,,,,,,
802,19,1204,"1,64986457337946E+018",salt_shaker_left,,,,,,,,,
818,19,1220,"1,64986457342072E+018",salt_shaker_right,,,,,,,,,
962,19,1524,"1,6498645746275E+018",sugar_bowl,,,,,,,,,
1053,19,1615,"1,64986457491878E+018",mixer,,,,,,,,,
1084,19,1772,"1,64986457550563E+018",pressure_cooker,,,,,,,,,
73,12,1160,"1,64986444708299E+018",teacup,,,,,,,,,
226,12,1394,"1,64986444713163E+018",teapot,,,,,,,,,
330,12,1583,"1,6498644471703E+018",spoon,,,,,,,,,
631,12,1936,"1,64986444724477E+018",ladle,,,,,,,,,
747,12,2101,"1,64986444727989E+018",shallow_plate,,,,,,,,,
814,12,2422,"1,64986444734605E+018",dinner_plate,,,,,,,,,
876,12,2601,"1,6498644473826E+018",knife,,,,,,,,,
971,12,2696,"1,64986444740209E+018",initial,,,,,,,,,
997,12,2860,"1,64986444743571E+018",fork,,,,,,,,,
1069,12,3151,"1,64986444749663E+018",salt_shaker_right,,,,,,,,,
1101,12,3183,"1,64986444750361E+018",salt_shaker_left,,,,,,,,,
1236,12,3421,"1,64986444755273E+018",sugar_bowl,,,,,,,,,
1353,12,3636,"1,64986444759704E+018",mixer,,,,,,,,,
1492,12,3898,"1,64986444765228E+018",pressure_cooker,,,,,,,,,
70,2,1010,"1,64986431211377E+018",teacup,,,,,,,,,
187,2,1261,"1,64986431283727E+018",teapot,,,,,,,,,
336,2,1584,"1,64986431388401E+018",spoon,,,,,,,,,
395,2,1767,"1,64986431459821E+018",ladle,,,,,,,,,
510,2,1982,"1,64986431522329E+018",shallow_plate,,,,,,,,,
569,2,2270,"1,64986431613037E+018",dinner_plate,,,,,,,,,
628,2,2458,"1,64986431671736E+018",knife,,,,,,,,,
681,2,2511,"1,64986431690489E+018",initial,,,,,,,,,
758,2,2725,"1,64986431759724E+018",fork,,,,,,,,,
847,2,2989,"1,64986431837854E+018",salt_shaker_left,,,,,,,,,
924,2,3066,"1,64986431860797E+018",salt_shaker_right,,,,,,,,,
1012,2,3257,"1,6498643193443E+018",sugar_bowl,,,,,,,,,
1167,2,3521,"1,64986432011069E+018",mixer,,,,,,,,,
1247,2,3714,"1,6498643207802E+018",pressure_cooker,,,,,,,,,
144,10,1666,"1,64986442972899E+018",teacup,,,,,,,,,
210,10,1804,"1,6498644302807E+018",teapot,,,,,,,,,
258,10,1976,"1,64986443075901E+018",spoon,,,,,,,,,
517,10,2279,"1,64986443165102E+018",ladle,,,,,,,,,
702,10,2492,"1,64986443219296E+018",initial,,,,,,,,,
719,10,2509,"1,64986443222769E+018",shallow_plate,,,,,,,,,
806,10,2831,"1,64986443318586E+018",dinner_plate,,,,,,,,,
862,10,2993,"1,64986443374467E+018",knife,,,,,,,,,
1008,10,3266,"1,64986443485813E+018",fork,,,,,,,,,
1176,10,3604,"1,64986443584147E+018",salt_shaker_right,,,,,,,,,
1189,10,3617,"1,64986443587739E+018",salt_shaker_left,,,,,,,,,
1357,10,3868,"1,64986443664934E+018",sugar_bowl,,,,,,,,,
1531,10,4118,"1,64986443745758E+018",mixer,,,,,,,,,
1583,10,4268,"1,6498644380027E+018",pressure_cooker,,,,,,,,,
59,13,1019,"1,64986444834242E+018",teacup,,,,,,,,,
191,13,1220,"1,64986444838522E+018",teapot,,,,,,,,,
355,13,1529,"1,64986444845028E+018",spoon,,,,,,,,,
565,13,1760,"1,64986444849911E+018",ladle,,,,,,,,,
720,13,1946,"1,64986444853771E+018",shallow_plate,,,,,,,,,
760,13,2264,"1,64986444860678E+018",dinner_plate,,,,,,,,,
817,13,2448,"1,64986444867731E+018",knife,,,,,,,,,
903,13,2690,"1,64986444872886E+018",initial,,,,,,,,,
953,13,2740,"1,64986444873934E+018",fork,,,,,,,,,
1023,13,3010,"1,64986444879651E+018",salt_shaker_right,,,,,,,,,
1071,13,3058,"1,64986444880672E+018",salt_shaker_left,,,,,,,,,
1208,13,3294,"1,64986444885702E+018",sugar_bowl,,,,,,,,,
1320,13,3508,"1,64986444890223E+018",mixer,,,,,,,,,
1411,13,3712,"1,64986444894643E+018",pressure_cooker,,,,,,,,,
21,14,1139,"1,64986444964022E+018",teacup,,,,,,,,,
161,14,1387,"1,64986444969135E+018",teapot,,,,,,,,,
232,14,1601,"1,64986444973511E+018",spoon,,,,,,,,,
439,14,1868,"1,64986444979025E+018",ladle,,,,,,,,,
636,14,2094,"1,64986444983794E+018",shallow_plate,,,,,,,,,
703,14,2419,"1,64986444990565E+018",dinner_plate,,,,,,,,,
721,14,2437,"1,64986444990944E+018",initial,,,,,,,,,
747,14,2585,"1,64986444994044E+018",knife,,,,,,,,,
863,14,2855,"1,64986444999726E+018",fork,,,,,,,,,
919,14,3128,"1,64986445005475E+018",salt_shaker_left,,,,,,,,,
931,14,3140,"1,64986445005724E+018",salt_shaker_right,,,,,,,,,
1147,14,3457,"1,64986445012253E+018",sugar_bowl,,,,,,,,,
1217,14,3639,"1,64986445016028E+018",mixer,,,,,,,,,
1342,14,4129,"1,64986445026829E+018",pressure_cooker,,,,,,,,,
54,6,1050,"1,64986434758477E+018",teacup,,,,,,,,,
174,6,1243,"1,64986434808468E+018",teapot,,,,,,,,,
245,6,1433,"1,64986434863138E+018",spoon,,,,,,,,,
506,6,1748,"1,64986434947537E+018",ladle,,,,,,,,,
687,6,1970,"1,64986435005113E+018",shallow_plate,,,,,,,,,
695,6,2206,"1,64986435077434E+018",initial,,,,,,,,,
736,6,2248,"1,64986435088059E+018",dinner_plate,,,,,,,,,
790,6,2443,"1,64986435139522E+018",knife,,,,,,,,,
927,6,2714,"1,64986435208822E+018",fork,,,,,,,,,
1021,6,3024,"1,64986435293603E+018",salt_shaker_right,,,,,,,,,
1036,6,3039,"1,64986435297693E+018",salt_shaker_left,,,,,,,,,
1261,6,3268,"1,64986435365507E+018",sugar_bowl,,,,,,,,,
1367,6,3475,"1,64986435416475E+018",mixer,,,,,,,,,
1491,6,3714,"1,64986435490345E+018",pressure_cooker,,,,,,,,,
55,4,1116,"1,64986432719084E+018",teacup,,,,,,,,,
269,4,1376,"1,64986432724465E+018",teapot,,,,,,,,,
387,4,1602,"1,64986432729259E+018",spoon,,,,,,,,,
632,4,1914,"1,64986432735888E+018",ladle,,,,,,,,,
786,4,2119,"1,64986432740195E+018",shallow_plate,,,,,,,,,
808,4,2400,"1,64986432746088E+018",initial,,,,,,,,,
828,4,2420,"1,649864327465E+018",dinner_plate,,,,,,,,,
892,4,2629,"1,64986432750894E+018",knife,,,,,,,,,
1044,4,2906,"1,6498643275673E+018",fork,,,,,,,,,
1062,4,3142,"1,64986432761651E+018",salt_shaker_left,,,,,,,,,
1077,4,3157,"1,64986432761966E+018",salt_shaker_right,,,,,,,,,
1207,4,3417,"1,64986432767392E+018",sugar_bowl,,,,,,,,,
1377,4,3677,"1,64986432772826E+018",mixer,,,,,,,,,
1506,4,3910,"1,64986432777743E+018",pressure_cooker,,,,,,,,,
65,20,2178,"1,6498646057229E+018",teacup,,,,,,,,,
