participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
16,1129,"1,64986450074555E+018",teacup,[1.59565556 2.52935644 2.18625961 2.18625925],[1.68259712 2.87622244 2.88027144 2.88027234],[0.33319382 0.26119884],[-1.55894142 -1.39605179  2.37757424  2.37757485],[ 1.50011346  0.88310167 -2.79608487 -2.79608324],[3.04186657 2.82617299],"[1.43989663 0.78539816 1.57079633 1.57079633 1.10787433 0.23433791
 0.54105207]","[-1.43989663  0.75741361 -1.57079633  1.81402653 -0.19458416  0.81495194
  2.07694181]","[0, 0]"
16,1389,"1,64986450154247E+018",teapot,[1.60145629 2.54744659 2.18971672 2.1897169 ],[1.48314237 1.59774155 0.74820269 0.74820254],[0.33453826 0.2610507 ],[-1.58478658 -1.28599964  2.10053069  2.10052965],[1.4254288  1.4862031  1.57409218 1.57409485],[3.13185598 2.89839421],"[ 1.43989663  0.78539816 -1.27735086  0.68941377  0.93525935 -0.04812296
  2.25147474]","[-1.43989663  0.78539816 -1.57079633  0.97187465 -0.09519978  1.52110414
 -2.91469985]","[0, 0]"
16,1573,"1,64986450205492E+018",spoon,[1.59702301 1.59208466 0.28357554 0.28357654],[1.57332409 1.7265117  0.29651726 0.29651599],[0.27458875 0.10585886],[-1.56719868 -1.37536694  2.17209102  2.17209647],[ 1.43010671  1.65231086 -2.21183488 -2.21183003],[3.05290875 2.7815321 ],"[ 1.43989663  0.78539816 -1.55458098  1.89771864  0.63187545  0.16110732
  1.73556517]","[-1.43989663  0.78539816  1.32233537  1.73033442  0.          0.05649218
 -0.73303829]","[0, 0]"
16,1960,"1,6498645032062E+018",ladle,[1.59347959 2.71433151 1.62260448 1.6226044 ],[1.63294696 2.7592965  1.76299701 1.7629973 ],[0.32191929 0.10123615],[-1.58023151 -1.43912392  2.78393732  2.78393739],[ 1.49087947  1.50942197 -2.79914857 -2.79914831],[2.92182279 2.5954841 ],"[1.43989663 0.78539816 1.7564882  1.22173048 1.04719755 1.68848836
 1.41371669]","[-1.43989663  0.69464453 -1.93119548  1.22173048 -1.04719755  1.73556517
 -3.14159265]","[0, 0]"
16,2053,"1,64986450346275E+018",initial,[1.67043    2.87353288 2.97844405 2.97844397],[1.71203008 2.91887693 2.94216625 2.94216619],[0.33060147 0.02124097],[-1.64271319 -0.92798858 -1.55521663 -1.55521728],[ 1.49581912  0.8850387  -3.04945795 -3.04945761],[3.08211387 2.45962877],"[1.43989663 0.78539816 1.65806279 1.35895067 1.04719755 0.56910636
 3.14159265]","[-1.43989663  0.78539816 -1.75334975  1.40602748 -1.08381285  0.10879975
 -2.565634  ]","[0, 0]"
16,2177,"1,64986450378624E+018",shallow_plate,[1.58845254 2.61911359 0.76337395 0.76337442],[1.65581565 2.68726287 0.80453485 0.80453507],[0.26939509 0.13785225],[-1.66662522 -2.28151994  2.77672313  2.77672311],[ 1.55866075  2.03206328 -2.78773087 -2.78773084],[2.87914673 2.96269529],"[ 1.43989663  0.78539816  2.81833187  1.22173048  1.04719755  1.63095003
 -1.88495559]","[-1.43989663  0.78539816 -2.79950115  1.20725872 -1.04719755  1.75125744
 -1.98967535]","[0, 0]"
16,2391,"1,64986450453421E+018",dinner_plate,[1.59883828 2.83840023 1.20367683 1.20367681],[1.6386281  2.46780407 1.40572129 1.40572135],[0.27070695 0.09971158],[-1.68221901 -2.6934472   2.86374221  2.86374217],[ 1.53564197  2.71476218 -3.00223229 -3.00223244],[ 2.89679274 -2.91156387],"[1.43989663 0.78539816 2.65094765 1.34848915 1.11833585 0.93002859
 0.87249027]","[-1.43989663  0.80449043 -2.84657796  1.51587338 -1.10473588  0.79925967
 -0.76794487]","[0, 0]"
16,2631,"1,64986450522749E+018",knife,[1.54856895 2.18979321 0.95059913 0.95059896],[1.7099842  2.84368785 2.82517446 2.82517439],[0.28662871 0.22673867],[-1.60923731 -2.0495266   2.18124191  2.18124164],[ 1.48324614  0.8621026  -2.923145   -2.92314452],[ 3.07309633 -3.06975953],"[1.43989663 0.78539816 1.30141234 1.28048931 0.99279768 0.5638756
 0.61086524]","[-1.43989663  0.78539816 -2.39673286  1.0869513  -1.0053515   1.65187306
 -2.87979327]","[0, 0]"
16,2898,"1,64986450600631E+018",fork,[1.44157848 2.21123332 0.51246787 0.51246785],[1.62125363 2.03441197 0.42810135 0.42810147],[0.21441642 0.10985973],[-1.64383421 -2.23161198  1.7740038   1.77400456],[ 1.5068323   2.41485448 -1.6963646  -1.69636656],[2.87410535 3.01597966],"[ 1.43989663  0.78539816  2.75033203  1.22173048  1.25956629  1.74602669
 -2.86233997]","[-1.43989663  0.78539816 -2.72103979  1.22173048 -1.28781237  1.73033442
  1.76278254]","[0, 0]"
16,3187,"1,64986450688565E+018",salt_shaker_right,[1.5789854  2.30359918 2.79816449 2.79816322],[1.65435932 2.79273019 1.60322663 1.60322664],[0.41673618 0.31531127],[-1.6257962  -0.54100431 -0.73469596 -0.73469266],[1.53002776 1.6484074  3.10061071 3.10061083],[2.82263487 3.01670702],"[1.43989663 0.78539816 3.06940821 1.22173048 1.04719755 0.52359878
 2.47836754]","[-1.43989663  0.78539816 -1.04719755  1.22173048 -1.04719755  0.52359878
  2.0943951 ]","[0, 0]"
