,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
0,0,16,1129,"1,64986450074555E+018",teacup,[1.59565556 2.52935644 2.18625961 2.18625925],[1.68259712 2.87622244 2.88027144 2.88027234],[0.33319382 0.26119884],[-1.55894142 -1.39605179  2.37757424  2.37757485],[ 1.50011346  0.88310167 -2.79608487 -2.79608324],[3.04186657 2.82617299],[ 1.75298941  0.13710395 -1.41753224 -0.45695167  0.00850289],[ 1.89884035 -0.39715394  1.57079633  1.53588974  1.57079633],[-0.00069453 -0.06490498]
1,1,16,1389,"1,64986450154247E+018",teapot,[1.60145629 2.54744659 2.18971672 2.1897169 ],[1.48314237 1.59774155 0.74820269 0.74820254],[0.33453826 0.2610507 ],[-1.58478658 -1.28599964  2.10053069  2.10052965],[1.4254288  1.4862031  1.57409218 1.57409485],[3.13185598 2.89839421],[-1.3962634   1.04946421 -0.26808792 -0.29481999 -1.10901929],[ 1.78424318 -0.52359878  1.18347621  1.28218931 -0.02793805],[0. 0.]
2,2,16,1573,"1,64986450205492E+018",spoon,[1.59702301 1.59208466 0.28357554 0.28357654],[1.57332409 1.7265117  0.29651726 0.29651599],[0.27458875 0.10585886],[-1.56719868 -1.37536694  2.17209102  2.17209647],[ 1.43010671  1.65231086 -2.21183488 -2.21183003],[3.05290875 2.7815321 ],[-1.3962634   1.29804141  0.         -1.42220069 -1.57079633],"[-1.39626340e+00 -1.32645023e+00 -6.94528290e-04  1.37393824e+00
  1.57079633e+00]",[-0.01458509  0.01216151]
3,3,16,1960,"1,6498645032062E+018",ladle,[1.59347959 2.71433151 1.62260448 1.6226044 ],[1.63294696 2.7592965  1.76299701 1.7629973 ],[0.32191929 0.10123615],[-1.58023151 -1.43912392  2.78393732  2.78393739],[ 1.49087947  1.50942197 -2.79914857 -2.79914831],[2.92182279 2.5954841 ],[ 1.57588469  0.52359878 -1.04719755 -1.3643863  -1.57060453],[ 1.55852148 -0.53646644  0.84662999  1.5247584   1.57079633],[0.14515641 0.0180897 ]
4,4,16,2053,"1,64986450346275E+018",initial,[1.67043    2.87353288 2.97844405 2.97844397],[1.71203008 2.91887693 2.94216625 2.94216619],[0.33060147 0.02124097],[-1.64271319 -0.92798858 -1.55521663 -1.55521728],[ 1.49581912  0.8850387  -3.04945795 -3.04945761],[3.08211387 2.45962877],[ 1.56893941  0.14939623 -1.02165112 -0.4871157  -0.96629227],[ 1.59672054 -0.11852895  1.72520827  0.16360646  1.5268754 ],[ 0.06181302 -0.01550338]
5,5,16,2177,"1,64986450378624E+018",shallow_plate,[1.58845254 2.61911359 0.76337395 0.76337442],[1.65581565 2.68726287 0.80453485 0.80453507],[0.26939509 0.13785225],[-1.66662522 -2.28151994  2.77672313  2.77672311],[ 1.55866075  2.03206328 -2.78773087 -2.78773084],[2.87914673 2.96269529],[ 1.28071017  0.20812601 -1.28904451 -1.54461639 -1.57079633],[ 1.11402338 -0.1567716   1.22167526  1.54461639  1.57079633],[0.05139509 0.0210538 ]
6,6,16,2391,"1,64986450453421E+018",dinner_plate,[1.59883828 2.83840023 1.20367683 1.20367681],[1.6386281  2.46780407 1.40572129 1.40572135],[0.27070695 0.09971158],[-1.68221901 -2.6934472   2.86374221  2.86374217],[ 1.53564197  2.71476218 -3.00223229 -3.00223244],[ 2.89679274 -2.91156387],[ 1.07235168  0.22451571 -1.19181055 -1.54461639 -1.57079633],[ 1.31890922 -0.15130836  1.2668196   1.54461639  1.63012474],[0.03403189 0.        ]
7,7,16,2631,"1,64986450522749E+018",knife,,,,,,,,,
8,8,16,2898,"1,64986450600631E+018",fork,[1.44157848 2.21123332 0.51246787 0.51246785],[1.62125363 2.03441197 0.42810135 0.42810147],[0.21441642 0.10985973],[-1.64383421 -2.23161198  1.7740038   1.77400456],[ 1.5068323   2.41485448 -1.6963646  -1.69636656],[2.87410535 3.01597966],[ 0.76328659  0.34906585 -1.37933318 -1.54461639 -1.57079633],[ 0.76328659 -0.34906585  1.32932715  1.53606991  1.57079633],[0.03403189 0.        ]
9,9,16,3187,"1,64986450688565E+018",salt_shaker_right,,,,,,,,,
